TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered,CardPlayed
127.7311,1,Training,10,Full Circle,Prepare,,,
140.3978,1,Training,10,Full Circle,ShowPattern,,,
140.42,1,Training,10,Full Circle,Card,15,,,
144.9978,1,Training,10,Full Circle,Card,,15,,
146.0867,1,Training,10,Full Circle,Card,6,,,
148.8311,1,Training,10,Full Circle,Card,,6,,
151.0533,1,Training,10,Full Circle,Card,10,,,
152.6089,1,Training,10,Full Circle,Card,,10,,
153.8978,1,Training,10,Full Circle,Card,35,,,
153.9867,1,Training,10,Full Circle,Card,25,,,
155.3867,1,Training,10,Full Circle,Card,,35,,
156.62,1,Training,10,Full Circle,Card,,25,,
156.62,1,Training,10,Full Circle,Distractor,,,
156.62,1,Training,10,Full Circle,Task: 1,,,
156.6311,1,Training,10,Full Circle,CardGame,,,,7
156.6311,1,Training,10,Full Circle,Task: 2,,,
160.4978,1,Training,10,Full Circle,CardGame,,,,2
160.4978,1,Training,10,Full Circle,Task: 8,,,
162.8422,1,Training,10,Full Circle,CardGame,,,,8
162.8422,1,Training,10,Full Circle,Task: 3,,,
165.4756,1,Training,10,Full Circle,CardGame,,,,3
165.4756,1,Training,10,Full Circle,Task: 1,,,
167.7089,1,Training,10,Full Circle,CardGame,,,,1
167.7089,1,Training,10,Full Circle,Task: 3,,,
169.8533,1,Training,10,Full Circle,CardGame,,,,3
169.8533,1,Training,10,Full Circle,Task: 1,,,
171.92,1,Training,10,Full Circle,CardGame,,,,1
171.92,1,Training,10,Full Circle,Task: 3,,,
174.4089,1,Training,10,Full Circle,CardGame,,,,3
174.4089,1,Training,10,Full Circle,Task: 2,,,
175.5756,1,Training,10,Full Circle,SelectedCards,,,
180.1756,1,Training,10,Full Circle,Card,,,10,
182.3422,1,Training,10,Full Circle,Card,,,35,
184.1311,1,Training,10,Full Circle,Card,,,25,
190.6756,1,Training,10,Full Circle,Card,,,6,
193.7533,1,Training,10,Full Circle,Card,,,15,
198.3867,1,Training,10,Full Circle,Result,,,
214.7978,2,Training,10,Flat,Prepare,,,
220.8089,2,Training,10,Flat,ShowPattern,,,
222.1311,2,Training,10,Flat,Card,30,,,
223.8978,2,Training,10,Flat,Card,,30,,
226.1089,2,Training,10,Flat,Card,2,,,
