Timestamp	Position.x	Position.y	Position.z	Rotation.x	Rotation.y	Rotation.z	Rotation.w
0.03491211	0.1364	1.3951	0.4289	-0.3199	-0.0400	-0.0975	0.9416
0.09046936	0.1372	1.4007	0.4291	-0.3273	-0.0380	-0.1004	0.9388
0.1460266	0.1369	1.4042	0.4306	-0.3317	-0.0380	-0.0983	0.9375
0.2015839	0.1356	1.4064	0.4319	-0.3339	-0.0391	-0.0982	0.9367
0.2571411	0.1351	1.4078	0.4327	-0.3359	-0.0394	-0.0999	0.9358
0.3126831	0.1348	1.4086	0.4338	-0.3364	-0.0389	-0.1010	0.9355
0.3682404	0.1338	1.4085	0.4349	-0.3369	-0.0400	-0.1024	0.9351
0.4237976	0.1340	1.4084	0.4352	-0.3366	-0.0393	-0.1017	0.9353
0.4793549	0.1346	1.4079	0.4365	-0.3357	-0.0377	-0.1027	0.9356
0.5349121	0.1345	1.4060	0.4367	-0.3343	-0.0375	-0.1013	0.9363
0.5904694	0.1348	1.4049	0.4373	-0.3326	-0.0365	-0.1006	0.9370
0.6460266	0.1350	1.4041	0.4374	-0.3324	-0.0362	-0.1011	0.9370
0.7015839	0.1349	1.4034	0.4377	-0.3312	-0.0367	-0.1017	0.9373
0.7571411	0.1340	1.4025	0.4376	-0.3306	-0.0368	-0.1018	0.9375
0.8126831	0.1342	1.4024	0.4374	-0.3307	-0.0367	-0.1021	0.9375
0.8682404	0.1344	1.4019	0.4372	-0.3305	-0.0369	-0.1022	0.9375
0.9237976	0.1356	1.4020	0.4366	-0.3316	-0.0371	-0.1010	0.9373
0.9793549	0.1414	1.4036	0.4375	-0.3356	-0.0311	-0.1030	0.9358
1.034912	0.1523	1.4065	0.4384	-0.3443	-0.0099	-0.1066	0.9327
1.090469	0.1617	1.4108	0.4385	-0.3542	0.0024	-0.1072	0.9290
1.146027	0.1706	1.4138	0.4391	-0.3577	0.0149	-0.1073	0.9275
1.201584	0.1755	1.4150	0.4384	-0.3596	0.0222	-0.1043	0.9270
1.257141	0.1792	1.4147	0.4384	-0.3589	0.0257	-0.1036	0.9273
1.312683	0.1808	1.4131	0.4377	-0.3564	0.0276	-0.1010	0.9285
1.36824	0.1813	1.4105	0.4374	-0.3516	0.0287	-0.1008	0.9303
1.423798	0.1807	1.4072	0.4368	-0.3471	0.0301	-0.0998	0.9320
1.479355	0.1807	1.4036	0.4374	-0.3410	0.0300	-0.0994	0.9343
1.534912	0.1803	1.4004	0.4378	-0.3356	0.0298	-0.0968	0.9365
1.590469	0.1796	1.3985	0.4377	-0.3321	0.0300	-0.0945	0.9380
1.646027	0.1793	1.3977	0.4376	-0.3308	0.0304	-0.0938	0.9385
1.701584	0.1797	1.3980	0.4381	-0.3304	0.0319	-0.0906	0.9389
1.757141	0.1802	1.3992	0.4379	-0.3305	0.0324	-0.0896	0.9390
1.812683	0.1798	1.4000	0.4370	-0.3320	0.0324	-0.0908	0.9383
1.86824	0.1789	1.3991	0.4364	-0.3310	0.0313	-0.0908	0.9387
1.923798	0.1773	1.3970	0.4358	-0.3283	0.0293	-0.0920	0.9396
1.979355	0.1758	1.3948	0.4359	-0.3257	0.0286	-0.0913	0.9406
2.034912	0.1738	1.3925	0.4367	-0.3221	0.0264	-0.0918	0.9419
2.090469	0.1728	1.3910	0.4375	-0.3210	0.0256	-0.0913	0.9423
2.146027	0.1718	1.3910	0.4380	-0.3211	0.0251	-0.0915	0.9423
2.201584	0.1711	1.3919	0.4385	-0.3227	0.0249	-0.0910	0.9418
2.257141	0.1699	1.3937	0.4398	-0.3247	0.0241	-0.0886	0.9413
2.312683	0.1670	1.3959	0.4423	-0.3302	0.0193	-0.0837	0.9400
2.36824	0.1644	1.3961	0.4477	-0.3315	0.0179	-0.0750	0.9403
2.423798	0.1624	1.3955	0.4519	-0.3290	0.0193	-0.0681	0.9417
2.479355	0.1608	1.3942	0.4537	-0.3250	0.0182	-0.0709	0.9429
2.534912	0.1585	1.3926	0.4531	-0.3217	0.0160	-0.0724	0.9439
2.590469	0.1553	1.3900	0.4501	-0.3188	0.0118	-0.0742	0.9448
2.646027	0.1523	1.3863	0.4477	-0.3144	0.0085	-0.0760	0.9462
2.701584	0.1502	1.3798	0.4460	-0.3062	0.0066	-0.0775	0.9488
2.757141	0.1488	1.3706	0.4450	-0.2947	0.0080	-0.0787	0.9523
2.812683	0.1473	1.3604	0.4447	-0.2820	0.0080	-0.0791	0.9561
2.86824	0.1462	1.3501	0.4454	-0.2693	0.0088	-0.0795	0.9597
2.923798	0.1445	1.3412	0.4461	-0.2581	0.0090	-0.0790	0.9628
2.979355	0.1429	1.3345	0.4466	-0.2496	0.0091	-0.0794	0.9650
3.034912	0.1409	1.3309	0.4459	-0.2451	0.0087	-0.0793	0.9662
3.090469	0.1389	1.3300	0.4446	-0.2443	0.0062	-0.0816	0.9663
3.146027	0.1369	1.3302	0.4434	-0.2439	0.0045	-0.0816	0.9664
3.201584	0.1353	1.3306	0.4412	-0.2438	0.0003	-0.0814	0.9664
3.257141	0.1334	1.3315	0.4392	-0.2438	-0.0026	-0.0807	0.9664
3.312683	0.1330	1.3343	0.4380	-0.2459	-0.0049	-0.0819	0.9658
3.36824	0.1329	1.3399	0.4364	-0.2528	-0.0058	-0.0832	0.9639
3.423798	0.1330	1.3479	0.4350	-0.2622	-0.0074	-0.0852	0.9612
3.479355	0.1339	1.3576	0.4333	-0.2741	-0.0087	-0.0883	0.9576
3.534912	0.1341	1.3670	0.4315	-0.2858	-0.0096	-0.0919	0.9538
3.590469	0.1338	1.3748	0.4287	-0.2960	-0.0113	-0.0944	0.9504
3.646027	0.1325	1.3798	0.4271	-0.3018	-0.0131	-0.0965	0.9484
3.701584	0.1308	1.3828	0.4250	-0.3059	-0.0171	-0.0981	0.9468
3.757141	0.1291	1.3850	0.4233	-0.3088	-0.0202	-0.0980	0.9458
3.812683	0.1282	1.3870	0.4211	-0.3113	-0.0237	-0.0986	0.9449
3.86824	0.1285	1.3888	0.4196	-0.3142	-0.0238	-0.0991	0.9439
3.923798	0.1288	1.3901	0.4183	-0.3159	-0.0241	-0.0998	0.9432
3.979355	0.1299	1.3913	0.4176	-0.3178	-0.0234	-0.0986	0.9427
4.034912	0.1307	1.3916	0.4179	-0.3184	-0.0226	-0.0984	0.9426
4.090469	0.1316	1.3923	0.4181	-0.3198	-0.0212	-0.0987	0.9421
4.146027	0.1324	1.3930	0.4185	-0.3203	-0.0201	-0.1004	0.9418
4.201584	0.1323	1.3927	0.4189	-0.3204	-0.0200	-0.1013	0.9416
4.257141	0.1311	1.3922	0.4186	-0.3194	-0.0216	-0.1015	0.9419
4.312683	0.1303	1.3911	0.4191	-0.3188	-0.0237	-0.1012	0.9421
4.36824	0.1296	1.3904	0.4198	-0.3178	-0.0252	-0.1017	0.9424
4.423798	0.1289	1.3899	0.4202	-0.3165	-0.0254	-0.1013	0.9428
4.479355	0.1287	1.3900	0.4205	-0.3168	-0.0267	-0.1013	0.9427
4.534912	0.1288	1.3903	0.4208	-0.3171	-0.0273	-0.1009	0.9426
4.590469	0.1287	1.3906	0.4202	-0.3183	-0.0274	-0.1008	0.9422
4.646027	0.1299	1.3907	0.4210	-0.3181	-0.0257	-0.1013	0.9423
4.701584	0.1305	1.3898	0.4209	-0.3175	-0.0248	-0.0997	0.9427
4.757141	0.1308	1.3893	0.4213	-0.3168	-0.0240	-0.0987	0.9431
4.812683	0.1312	1.3887	0.4218	-0.3158	-0.0239	-0.0989	0.9433
4.86824	0.1307	1.3887	0.4211	-0.3165	-0.0245	-0.0978	0.9432
4.923798	0.1310	1.3888	0.4207	-0.3162	-0.0247	-0.0975	0.9433
4.979355	0.1314	1.3892	0.4206	-0.3179	-0.0240	-0.0977	0.9428
5.034912	0.1328	1.3895	0.4211	-0.3181	-0.0211	-0.0978	0.9428
5.090469	0.1327	1.3893	0.4215	-0.3184	-0.0217	-0.0970	0.9427
5.146027	0.1330	1.3896	0.4214	-0.3184	-0.0217	-0.0965	0.9428
5.201584	0.1332	1.3895	0.4213	-0.3186	-0.0221	-0.0967	0.9427
5.257141	0.1332	1.3891	0.4219	-0.3179	-0.0211	-0.0963	0.9430
5.312683	0.1329	1.3884	0.4221	-0.3172	-0.0207	-0.0970	0.9432
5.36824	0.1322	1.3879	0.4227	-0.3169	-0.0211	-0.0975	0.9432
5.423798	0.1313	1.3876	0.4220	-0.3166	-0.0220	-0.0974	0.9433
5.479355	0.1309	1.3874	0.4230	-0.3163	-0.0216	-0.0984	0.9433
5.534912	0.1312	1.3878	0.4232	-0.3165	-0.0212	-0.0989	0.9432
5.590469	0.1311	1.3879	0.4242	-0.3168	-0.0210	-0.0990	0.9431
5.646027	0.1313	1.3875	0.4244	-0.3157	-0.0200	-0.0989	0.9435
5.701584	0.1307	1.3871	0.4250	-0.3158	-0.0203	-0.0983	0.9435
5.757141	0.1308	1.3866	0.4256	-0.3149	-0.0210	-0.0981	0.9438
5.812683	0.1303	1.3868	0.4259	-0.3153	-0.0212	-0.0967	0.9438
5.86824	0.1315	1.3868	0.4272	-0.3149	-0.0194	-0.0966	0.9440
5.923798	0.1321	1.3869	0.4279	-0.3155	-0.0188	-0.0965	0.9438
5.979355	0.1315	1.3873	0.4285	-0.3157	-0.0189	-0.0964	0.9438
6.034912	0.1309	1.3875	0.4289	-0.3159	-0.0192	-0.0960	0.9437
6.090469	0.1306	1.3875	0.4295	-0.3158	-0.0198	-0.0960	0.9437
6.146027	0.1302	1.3874	0.4302	-0.3154	-0.0201	-0.0955	0.9439
6.201584	0.1301	1.3870	0.4309	-0.3147	-0.0189	-0.0945	0.9443
6.257141	0.1305	1.3869	0.4314	-0.3146	-0.0185	-0.0944	0.9443
6.312683	0.1296	1.3880	0.4314	-0.3152	-0.0197	-0.0945	0.9441
