Timestamp	Position.x	Position.y	Position.z	Rotation.x	Rotation.y	Rotation.z	Rotation.w
0.0345459	-0.1227	1.6436	0.1600	-0.1310	-0.0257	0.0259	0.9907
0.09008789	-0.1227	1.6436	0.1600	-0.1310	-0.0257	0.0259	0.9907
0.1456299	-0.1227	1.6436	0.1600	-0.1310	-0.0257	0.0259	0.9907
0.2012329	-0.1227	1.6436	0.1600	-0.1310	-0.0257	0.0259	0.9907
0.2567749	-0.1156	1.6438	0.1556	-0.1372	-0.0360	0.0321	0.9894
0.3123169	-0.1140	1.6447	0.1551	-0.1422	-0.0369	0.0345	0.9885
0.3678589	-0.1121	1.6462	0.1548	-0.1512	-0.0365	0.0389	0.9871
0.4234619	-0.1106	1.6497	0.1543	-0.1720	-0.0395	0.0409	0.9834
0.4790039	-0.1090	1.6536	0.1524	-0.1952	-0.0474	0.0458	0.9785
0.5345459	-0.1062	1.6552	0.1507	-0.2054	-0.0558	0.0479	0.9759
0.5900879	-0.1030	1.6554	0.1515	-0.2046	-0.0624	0.0406	0.9760
0.6456299	-0.0999	1.6540	0.1536	-0.1950	-0.0664	0.0329	0.9780
0.7012329	-0.0970	1.6523	0.1556	-0.1846	-0.0664	0.0268	0.9802
0.7567749	-0.0940	1.6520	0.1576	-0.1811	-0.0625	0.0275	0.9811
0.8123169	-0.0903	1.6527	0.1576	-0.1833	-0.0517	0.0299	0.9812
0.8678589	-0.0854	1.6549	0.1561	-0.1981	-0.0369	0.0373	0.9788
0.9234619	-0.0805	1.6582	0.1535	-0.2197	-0.0181	0.0424	0.9745
0.9790039	-0.0766	1.6603	0.1511	-0.2346	-0.0023	0.0455	0.9710
1.034546	-0.0732	1.6615	0.1501	-0.2398	0.0091	0.0430	0.9698
1.090088	-0.0703	1.6616	0.1497	-0.2360	0.0169	0.0340	0.9710
1.14563	-0.0678	1.6623	0.1498	-0.2342	0.0249	0.0271	0.9715
1.201233	-0.0658	1.6616	0.1489	-0.2316	0.0337	0.0223	0.9720
1.256775	-0.0644	1.6610	0.1482	-0.2264	0.0406	0.0206	0.9730
1.312317	-0.0643	1.6596	0.1478	-0.2178	0.0439	0.0201	0.9748
1.367859	-0.0652	1.6578	0.1481	-0.2051	0.0419	0.0221	0.9776
