TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered,CardPlayed
29.59778,1,Training,2,Full Circle,Prepare,,,
34.26445,1,Training,2,Full Circle,ShowPattern,,,
34.28667,1,Training,2,Full Circle,Card,15,,,
35.84222,1,Training,2,Full Circle,Card,,15,,
36.75333,1,Training,2,Full Circle,Card,6,,,
37.20889,1,Training,2,Full Circle,Card,,6,,
39.02,1,Training,2,Full Circle,Card,10,,,
39.48667,1,Training,2,Full Circle,Card,,10,,
39.83111,1,Training,2,Full Circle,Card,35,,,
40.56445,1,Training,2,Full Circle,Card,,35,,
41.30889,1,Training,2,Full Circle,Card,25,,,
41.96445,1,Training,2,Full Circle,Card,,25,,
49.20889,1,Training,2,Full Circle,Distractor,,,
49.20889,1,Training,2,Full Circle,Task: 4,,,
52.22,1,Training,2,Full Circle,CardGame,,,,4
52.22,1,Training,2,Full Circle,Task: 5,,,
55.19778,1,Training,2,Full Circle,CardGame,,,,5
55.19778,1,Training,2,Full Circle,Task: 8,,,
56.30889,1,Training,2,Full Circle,CardGame,,,,8
56.30889,1,Training,2,Full Circle,Task: 4,,,
57.96445,1,Training,2,Full Circle,CardGame,,,,4
57.96445,1,Training,2,Full Circle,Task: 2,,,
60.08667,1,Training,2,Full Circle,CardGame,,,,2
60.08667,1,Training,2,Full Circle,Task: 2,,,
62.66445,1,Training,2,Full Circle,CardGame,,,,2
62.66445,1,Training,2,Full Circle,Task: 8,,,
64.16444,1,Training,2,Full Circle,SelectedCards,,,
67.58667,1,Training,2,Full Circle,Card,,,15,
71.66444,1,Training,2,Full Circle,Card,,,30,
73.47556,1,Training,2,Full Circle,Card,,,10,
74.00889,1,Training,2,Full Circle,Card,,,35,
75.67556,1,Training,2,Full Circle,Card,,,0,
76.76445,1,Training,2,Full Circle,Result,,,
78.26445,2,Training,2,Flat,Prepare,,,
79.02,2,Training,2,Flat,ShowPattern,,,
79.07555,2,Training,2,Flat,Card,30,,,
82.16444,2,Training,2,Flat,Card,,30,,
85.92001,2,Training,2,Flat,Card,2,,,
86.73111,2,Training,2,Flat,Card,25,,,
87.48667,2,Training,2,Flat,Card,,2,,
88.16444,2,Training,2,Flat,Card,,25,,
92.47556,2,Training,2,Flat,Card,20,,,
93.28667,2,Training,2,Flat,Card,,20,,
94.06445,2,Training,2,Flat,Card,11,,,
94.86445,2,Training,2,Flat,Card,,11,,
94.86445,2,Training,2,Flat,Distractor,,,
97.02,2,Training,2,Flat,Task: 2,,,
98.77556,2,Training,2,Flat,CardGame,,,,2
98.77556,2,Training,2,Flat,Task: 2,,,
100.3978,2,Training,2,Flat,CardGame,,,,2
100.3978,2,Training,2,Flat,Task: 3,,,
101.6311,2,Training,2,Flat,CardGame,,,,3
101.6311,2,Training,2,Flat,Task: 4,,,
103.3867,2,Training,2,Flat,CardGame,,,,4
103.3867,2,Training,2,Flat,Task: 2,,,
104.3533,2,Training,2,Flat,CardGame,,,,2
104.3533,2,Training,2,Flat,Task: 2,,,
106.9644,2,Training,2,Flat,CardGame,,,,2
106.9644,2,Training,2,Flat,Task: 8,,,
108.3089,2,Training,2,Flat,CardGame,,,,8
108.3089,2,Training,2,Flat,Task: 5,,,
109.3644,2,Training,2,Flat,CardGame,,,,5
109.3644,2,Training,2,Flat,Task: 1,,,
111.9756,2,Training,2,Flat,SelectedCards,,,
114.5311,2,Training,2,Flat,Card,,,6,
117.5311,2,Training,2,Flat,Card,,,25,
118.0978,2,Training,2,Flat,Card,,,2,
