TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered,CardPlayed
84.15334,1,Training,1,Flat,Prepare,,,
84.99778,1,Training,1,Flat,ShowPattern,,,
85.89778,1,Training,1,Flat,Card,2,,,
85.99778,1,Training,1,Flat,Card,25,,,
88.79778,1,Training,1,Flat,Card,,2,,
89.36445,1,Training,1,Flat,Card,,25,,
91.26445,1,Training,1,Flat,Card,30,,,
91.57556,1,Training,1,Flat,Card,20,,,
92.72,1,Training,1,Flat,Card,,30,,
93.13111,1,Training,1,Flat,Card,11,,,
93.87556,1,Training,1,Flat,Card,,20,,
94.95334,1,Training,1,Flat,Card,,11,,
99.95334,1,Training,1,Flat,Distractor,,,
99.95334,1,Training,1,Flat,Task: 7,,,
102.8422,1,Training,1,Flat,CardGame,,,,7
102.8422,1,Training,1,Flat,Task: 7,,,
104.2089,1,Training,1,Flat,CardGame,,,,7
104.2089,1,Training,1,Flat,Task: 2,,,
107.4089,1,Training,1,Flat,CardGame,,,,2
107.4089,1,Training,1,Flat,Task: 4,,,
108.3311,1,Training,1,Flat,CardGame,,,,4
108.3311,1,Training,1,Flat,Task: 6,,,
110.2311,1,Training,1,Flat,CardGame,,,,6
110.2311,1,Training,1,Flat,Task: 4,,,
112.2533,1,Training,1,Flat,CardGame,,,,4
112.2533,1,Training,1,Flat,Task: 4,,,
113.7756,1,Training,1,Flat,CardGame,,,,4
113.7756,1,Training,1,Flat,Task: 7,,,
114.4533,1,Training,1,Flat,CardGame,,,,7
114.4533,1,Training,1,Flat,Task: 3,,,
114.9089,1,Training,1,Flat,SelectedCards,,,
117.3422,1,Training,1,Flat,Card,,,25,
117.8867,1,Training,1,Flat,Card,,,2,
120.4533,1,Training,1,Flat,Card,,,30,
121.0533,1,Training,1,Flat,Card,,,20,
122.52,1,Training,1,Flat,Card,,,11,
123.9089,1,Training,1,Flat,Result,,,
138.9644,2,Training,1,Full Circle,Prepare,,,
145.5311,2,Training,1,Full Circle,ShowPattern,,,
145.5422,2,Training,1,Full Circle,Card,15,,,
147.5756,2,Training,1,Full Circle,Card,,15,,
147.8867,2,Training,1,Full Circle,Card,25,,,
148.4422,2,Training,1,Full Circle,Card,,25,,
148.7867,2,Training,1,Full Circle,Card,35,,,
149.3644,2,Training,1,Full Circle,Card,,35,,
149.9644,2,Training,1,Full Circle,Card,10,,,
151.0867,2,Training,1,Full Circle,Card,,10,,
155.0089,2,Training,1,Full Circle,Card,6,,,
155.8311,2,Training,1,Full Circle,Card,,6,,
160.4867,2,Training,1,Full Circle,Distractor,,,
160.4867,2,Training,1,Full Circle,Task: 2,,,
162.1533,2,Training,1,Full Circle,CardGame,,,,2
162.1533,2,Training,1,Full Circle,Task: 5,,,
163.4978,2,Training,1,Full Circle,CardGame,,,,5
163.4978,2,Training,1,Full Circle,Task: 6,,,
166.0089,2,Training,1,Full Circle,CardGame,,,,6
166.0089,2,Training,1,Full Circle,Task: 1,,,
167.82,2,Training,1,Full Circle,CardGame,,,,1
167.82,2,Training,1,Full Circle,Task: 5,,,
169.6978,2,Training,1,Full Circle,CardGame,,,,5
169.6978,2,Training,1,Full Circle,Task: 8,,,
171.5422,2,Training,1,Full Circle,CardGame,,,,8
171.5422,2,Training,1,Full Circle,Task: 2,,,
173.5867,2,Training,1,Full Circle,CardGame,,,,2
173.5867,2,Training,1,Full Circle,Task: 8,,,
175.22,2,Training,1,Full Circle,CardGame,,,,8
175.22,2,Training,1,Full Circle,Task: 7,,,
175.4311,2,Training,1,Full Circle,SelectedCards,,,
181.72,2,Training,1,Full Circle,Card,,,10,
182.3645,2,Training,1,Full Circle,Card,,,35,
185.4533,2,Training,1,Full Circle,Card,,,6,
187.1089,2,Training,1,Full Circle,Card,,,14,
188.7422,2,Training,1,Full Circle,Card,,,9,
189.4978,2,Training,1,Full Circle,Result,,,
190.7756,3,1,1,Flat,Prepare,,,
192.5645,3,1,1,Flat,ShowPattern,,,
192.5756,3,1,1,Flat,Card,7,,,
192.5756,3,1,1,Flat,Card,17,,,
193.4422,3,1,1,Flat,Card,27,,,
193.52,3,1,1,Flat,Card,25,,,
195.82,3,1,1,Flat,Card,,25,,
196.6978,3,1,1,Flat,Card,,27,,
198.32,3,1,1,Flat,Card,,17,,
199.9756,3,1,1,Flat,Card,,7,,
200.0645,3,1,1,Flat,Card,11,,,
201.6978,3,1,1,Flat,Card,,11,,
207.52,3,1,1,Flat,Distractor,,,
207.52,3,1,1,Flat,Task: 8,,,
209.3756,3,1,1,Flat,CardGame,,,,8
209.3756,3,1,1,Flat,Task: 3,,,
211.1422,3,1,1,Flat,CardGame,,,,3
211.1422,3,1,1,Flat,Task: 5,,,
213.0533,3,1,1,Flat,CardGame,,,,5
213.0533,3,1,1,Flat,Task: 4,,,
214.5422,3,1,1,Flat,CardGame,,,,4
214.5422,3,1,1,Flat,Task: 1,,,
216.6978,3,1,1,Flat,CardGame,,,,1
216.6978,3,1,1,Flat,Task: 5,,,
218.0645,3,1,1,Flat,CardGame,,,,5
218.0645,3,1,1,Flat,Task: 4,,,
219.7756,3,1,1,Flat,CardGame,,,,4
219.7756,3,1,1,Flat,Task: 6,,,
221.8645,3,1,1,Flat,CardGame,,,,6
221.8645,3,1,1,Flat,Task: 8,,,
222.4756,3,1,1,Flat,SelectedCards,,,
224.2422,3,1,1,Flat,Card,,,25,
224.8533,3,1,1,Flat,Card,,,27,
226.02,3,1,1,Flat,Card,,,17,
227.3645,3,1,1,Flat,Card,,,7,
228.4756,3,1,1,Flat,Card,,,11,
229.0311,3,1,1,Flat,Result,,,
230.5311,4,2,1,Full Circle,Prepare,,,
232.1756,4,2,1,Full Circle,ShowPattern,,,
233.5089,4,2,1,Full Circle,Card,16,,,
234.7645,4,2,1,Full Circle,Card,,16,,
236.4978,4,2,1,Full Circle,Card,0,,,
237.8311,4,2,1,Full Circle,Card,,0,,
239.1422,4,2,1,Full Circle,Card,20,,,
240.6533,4,2,1,Full Circle,Card,,20,,
244.0756,4,2,1,Full Circle,Card,6,,,
245.3978,4,2,1,Full Circle,Card,,6,,
248.9756,4,2,1,Full Circle,Card,34,,,
249.2756,4,2,1,Full Circle,Card,,34,,
249.2756,4,2,1,Full Circle,Distractor,,,
249.2756,4,2,1,Full Circle,Task: 8,,,
251.9867,4,2,1,Full Circle,CardGame,,,,8
251.9867,4,2,1,Full Circle,Task: 2,,,
253.9867,4,2,1,Full Circle,CardGame,,,,2
253.9867,4,2,1,Full Circle,Task: 2,,,
255.6867,4,2,1,Full Circle,CardGame,,,,2
255.6867,4,2,1,Full Circle,Task: 8,,,
257.9422,4,2,1,Full Circle,CardGame,,,,8
257.9422,4,2,1,Full Circle,Task: 4,,,
259.3867,4,2,1,Full Circle,CardGame,,,,4
259.3867,4,2,1,Full Circle,Task: 6,,,
260.4867,4,2,1,Full Circle,CardGame,,,,6
260.4867,4,2,1,Full Circle,Task: 4,,,
261.8867,4,2,1,Full Circle,CardGame,,,,4
261.8867,4,2,1,Full Circle,Task: 4,,,
263.6978,4,2,1,Full Circle,CardGame,,,,4
263.6978,4,2,1,Full Circle,Task: 8,,,
