ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
1,3,1,Flat,5,2,0.2445915,1.699461,8.596598,14.14968,15.08249,3.476639,5.486623,10.407,14.8437,15.84873
1,4,2,Full Circle,5,2,1.615572,3.303734,4.769729,6.646854,7.957183,2.478904,4.10363,5.479985,7.368633,8.868152
1,5,3,Flat,5,0,0.0121963,4.597359,6.741015,12.4271,13.29367,1.843042,5.796999,7.751435,13.18243,14.05968
1,6,4,Full Circle,5,1,0.7331014,2.243525,4.176089,10.4955,13.75024,1.943668,3.354324,7.852255,11.55055,14.71602
1,7,5,Flat,5,4,0.0121456,3.381099,7.268444,13.85422,14.97596,2.892424,4.537179,8.267776,14.49864,15.63116
1,8,6,Full Circle,5,0,0.7109921,2.643597,6.042202,8.640852,9.984807,2.155089,4.031951,6.975104,9.329265,10.65101
1,9,7,Flat,5,0,0.7812909,8.222322,9.666566,14.67514,15.21658,6.756483,9.2553,10.64361,15.39494,16.01906
1,10,8,Full Circle,5,3,0.0130249,3.698519,6.840647,8.074306,9.484965,2.110245,4.787141,7.730153,8.885428,10.75094
1,11,9,Flat,5,5,0.0128908,0.7328514,5.808504,6.81599,14.38249,2.210185,3.221058,7.152381,8.09652,14.98227
1,12,10,Full Circle,5,3,0.8885232,3.887165,5.908714,7.629969,9.140702,2.443649,4.620364,6.830339,8.407434,9.995644
1,13,11,Flat,5,2,0.544155,5.597765,10.46196,11.99414,13.75864,3.568604,6.397186,11.50612,12.97193,14.79342
1,14,12,Full Circle,5,2,1.888495,4.198313,6.364069,7.607999,8.640796,3.020209,5.042132,7.1416,8.252094,9.382265
1,15,13,Flat,5,3,0.6001347,6.219773,6.953111,11.30643,13.44995,4.620296,7.130604,7.963256,12.49481,14.10492
1,16,14,Full Circle,5,2,0.5331873,3.476282,5.664117,7.418882,8.86938,1.566214,4.309503,6.452788,8.085272,9.384015
1,17,15,Flat,5,1,0.0115771,0.8414822,5.875718,8.507517,14.28266,1.527981,3.143445,7.397095,9.584898,14.79386
1,18,16,Full Circle,5,4,0.0172279,2.610332,4.553765,5.841094,6.974946,2.299377,3.087945,5.264572,6.397449,7.619144
1,19,17,Flat,5,3,0.733205,0.776968,5.064627,6.597597,12.21727,2.099349,2.854797,6.55302,7.863415,12.98347
1,20,18,Full Circle,5,3,2.132293,4.198271,5.550027,7.085965,7.941103,2.687955,4.986844,6.408506,7.807875,8.483972
