TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered,CardPlayed
189.4311,1,Training,1,Flat,Prepare,,,
201.02,1,Training,1,Flat,ShowPattern,,,
202.6867,1,Training,1,Flat,Card,30,,,
205.9867,1,Training,1,Flat,Card,,30,,
209.9644,1,Training,1,Flat,Card,20,,,
212.9311,1,Training,1,Flat,Card,,20,,
215.1867,1,Training,1,Flat,Card,11,,,
217.6422,1,Training,1,Flat,Card,,11,,
223.3978,1,Training,1,Flat,Card,2,,,
224.22,1,Training,1,Flat,Card,25,,,
224.7756,1,Training,1,Flat,Card,,2,,
226.3645,1,Training,1,Flat,Card,,25,,
226.3645,1,Training,1,Flat,Distractor,,,
230.1867,1,Training,1,Flat,Task: 3,,,
232.7533,1,Training,1,Flat,CardGame,,,,3
232.7533,1,Training,1,Flat,Task: 4,,,
234.1756,1,Training,1,Flat,CardGame,,,,4
234.1756,1,Training,1,Flat,Task: 2,,,
236.1422,1,Training,1,Flat,CardGame,,,,2
236.1422,1,Training,1,Flat,Task: 7,,,
237.6978,1,Training,1,Flat,CardGame,,,,7
237.6978,1,Training,1,Flat,Task: 2,,,
239.8867,1,Training,1,Flat,CardGame,,,,2
239.8867,1,Training,1,Flat,Task: 7,,,
241.42,1,Training,1,Flat,CardGame,,,,7
241.42,1,Training,1,Flat,Task: 1,,,
243.6533,1,Training,1,Flat,CardGame,,,,1
243.6533,1,Training,1,Flat,Task: 7,,,
244.9089,1,Training,1,Flat,CardGame,,,,7
244.9089,1,Training,1,Flat,Task: 6,,,
245.1311,1,Training,1,Flat,SelectedCards,,,
254.1867,1,Training,1,Flat,Card,,,30,
257.0978,1,Training,1,Flat,Card,,,20,
259.2645,1,Training,1,Flat,Card,,,10,
271.5089,1,Training,1,Flat,Card,,,15,
278.8978,1,Training,1,Flat,Card,,,25,
298.9533,1,Training,1,Flat,Result,,,
350.5756,2,Training,1,Full Circle,Prepare,,,
