Timestamp	Position.x	Position.y	Position.z	Rotation.x	Rotation.y	Rotation.z	Rotation.w
0.0333786	0.0553	1.2266	0.4062	0.2504	0.0373	-0.0847	0.9637
0.08892822	0.0551	1.2274	0.4072	0.2491	0.0385	-0.0832	0.9641
0.1444855	0.0553	1.2281	0.4076	0.2477	0.0406	-0.0818	0.9645
0.2000427	0.0556	1.2284	0.4076	0.2466	0.0419	-0.0799	0.9649
0.2556	0.0560	1.2270	0.4069	0.2501	0.0441	-0.0786	0.9640
0.3111572	0.0568	1.2248	0.4056	0.2547	0.0459	-0.0767	0.9629
0.3667068	0.0577	1.2234	0.4047	0.2578	0.0483	-0.0762	0.9620
0.4222641	0.0584	1.2224	0.4043	0.2591	0.0495	-0.0767	0.9615
0.4778214	0.0597	1.2220	0.4045	0.2601	0.0516	-0.0760	0.9612
0.5333786	0.0612	1.2207	0.4051	0.2618	0.0544	-0.0752	0.9607
0.5889282	0.0623	1.2201	0.4058	0.2636	0.0567	-0.0745	0.9601
0.6444855	0.0631	1.2199	0.4070	0.2637	0.0584	-0.0745	0.9600
0.7000427	0.0637	1.2200	0.4076	0.2635	0.0594	-0.0753	0.9599
0.7556	0.0642	1.2199	0.4081	0.2631	0.0595	-0.0775	0.9598
0.8111572	0.0651	1.2200	0.4087	0.2639	0.0606	-0.0781	0.9595
0.8667068	0.0654	1.2192	0.4091	0.2636	0.0608	-0.0781	0.9595
0.9222641	0.0659	1.2189	0.4101	0.2634	0.0617	-0.0782	0.9595
0.9778214	0.0672	1.2190	0.4112	0.2633	0.0635	-0.0790	0.9594
1.033379	0.0685	1.2189	0.4120	0.2629	0.0646	-0.0799	0.9593
1.088928	0.0698	1.2191	0.4125	0.2629	0.0658	-0.0809	0.9592
1.144485	0.0717	1.2189	0.4134	0.2624	0.0677	-0.0813	0.9591
1.200043	0.0735	1.2184	0.4141	0.2633	0.0705	-0.0806	0.9588
1.2556	0.0754	1.2179	0.4151	0.2636	0.0715	-0.0809	0.9586
1.311157	0.0760	1.2181	0.4158	0.2640	0.0726	-0.0800	0.9585
1.366707	0.0764	1.2192	0.4161	0.2608	0.0705	-0.0836	0.9592
1.422264	0.0768	1.2194	0.4169	0.2612	0.0705	-0.0845	0.9590
1.477821	0.0777	1.2195	0.4172	0.2621	0.0704	-0.0831	0.9589
1.533379	0.0784	1.2206	0.4175	0.2600	0.0700	-0.0847	0.9593
1.588928	0.0787	1.2216	0.4179	0.2573	0.0704	-0.0865	0.9599
1.644485	0.0792	1.2226	0.4186	0.2553	0.0709	-0.0881	0.9602
1.700043	0.0805	1.2226	0.4190	0.2555	0.0722	-0.0891	0.9600
1.7556	0.0811	1.2221	0.4189	0.2567	0.0734	-0.0893	0.9595
1.811157	0.0816	1.2223	0.4194	0.2564	0.0734	-0.0899	0.9596
1.866707	0.0816	1.2222	0.4196	0.2559	0.0735	-0.0909	0.9596
1.922264	0.0819	1.2233	0.4202	0.2533	0.0731	-0.0920	0.9602
1.977821	0.0820	1.2244	0.4210	0.2508	0.0718	-0.0932	0.9609
2.033379	0.0817	1.2242	0.4210	0.2505	0.0712	-0.0931	0.9610
2.088928	0.0821	1.2230	0.4210	0.2523	0.0720	-0.0932	0.9605
2.144485	0.0827	1.2210	0.4208	0.2568	0.0741	-0.0916	0.9593
2.200043	0.0837	1.2195	0.4203	0.2596	0.0751	-0.0909	0.9585
2.2556	0.0840	1.2196	0.4204	0.2593	0.0751	-0.0919	0.9585
2.311157	0.0869	1.2206	0.4203	0.2566	0.0775	-0.0907	0.9591
2.366707	0.0916	1.2226	0.4198	0.2528	0.0827	-0.0919	0.9596
2.422264	0.0999	1.2258	0.4187	0.2459	0.0925	-0.0942	0.9603
2.477821	0.1113	1.2289	0.4161	0.2387	0.1078	-0.0934	0.9606
2.533379	0.1243	1.2297	0.4115	0.2305	0.1229	-0.0865	0.9614
2.588928	0.1394	1.2256	0.4034	0.2310	0.1421	-0.0692	0.9600
2.644485	0.1536	1.2167	0.3947	0.2337	0.1540	-0.0509	0.9587
2.700043	0.1683	1.2000	0.3847	0.2537	0.1674	-0.0394	0.9519
2.7556	0.1835	1.1797	0.3751	0.2831	0.1825	-0.0367	0.9408
2.811157	0.1976	1.1613	0.3662	0.3071	0.1985	-0.0284	0.9303
2.866707	0.2076	1.1525	0.3566	0.3180	0.2135	-0.0136	0.9236
2.922264	0.2117	1.1540	0.3482	0.3141	0.2193	-0.0110	0.9237
2.977821	0.2130	1.1579	0.3394	0.3070	0.2258	-0.0160	0.9244
3.033379	0.2131	1.1611	0.3310	0.3027	0.2408	-0.0159	0.9220
3.088928	0.2121	1.1662	0.3231	0.2976	0.2613	-0.0180	0.9181
3.144485	0.2095	1.1762	0.3147	0.2856	0.2833	-0.0209	0.9153
3.200043	0.2039	1.1851	0.3088	0.2732	0.2857	-0.0236	0.9182
3.2556	0.1981	1.1841	0.3073	0.2847	0.2765	-0.0129	0.9178
3.311157	0.1991	1.1812	0.3062	0.3068	0.2889	-0.0185	0.9067
3.366707	0.2021	1.1831	0.3126	0.3012	0.2958	-0.0168	0.9064
3.422264	0.2057	1.1860	0.3230	0.2919	0.3016	-0.0059	0.9076
3.477821	0.2090	1.1892	0.3371	0.2839	0.3011	-0.0064	0.9103
3.533379	0.2125	1.1931	0.3526	0.2759	0.2998	-0.0143	0.9131
3.588928	0.2172	1.1983	0.3691	0.2653	0.3018	-0.0171	0.9156
3.644485	0.2223	1.2056	0.3882	0.2501	0.3002	-0.0223	0.9202
3.700043	0.2265	1.2123	0.4082	0.2386	0.2971	-0.0238	0.9243
3.7556	0.2288	1.2186	0.4299	0.2276	0.2896	-0.0163	0.9296
3.811157	0.2296	1.2234	0.4504	0.2235	0.2880	-0.0022	0.9312
3.866707	0.2271	1.2317	0.4658	0.2249	0.2925	-0.0022	0.9295
3.922264	0.2186	1.2462	0.4801	0.1994	0.2804	-0.0106	0.9389
3.977821	0.2086	1.2607	0.4903	0.1723	0.2723	-0.0153	0.9465
4.033379	0.1981	1.2739	0.4972	0.1527	0.2711	-0.0170	0.9502
4.088928	0.1866	1.2849	0.5023	0.1477	0.2664	-0.0384	0.9517
4.144485	0.1728	1.2976	0.5111	0.1330	0.2399	-0.0625	0.9596
4.200043	0.1636	1.3091	0.5225	0.1266	0.2232	-0.0680	0.9641
4.2556	0.1586	1.3223	0.5364	0.1128	0.2170	-0.0580	0.9679
4.311157	0.1559	1.3381	0.5515	0.0921	0.2131	-0.0465	0.9716
4.366707	0.1518	1.3564	0.5666	0.0648	0.2000	-0.0392	0.9769
4.422264	0.1468	1.3765	0.5789	0.0377	0.1862	-0.0398	0.9810
4.477821	0.1412	1.3983	0.5867	0.0085	0.1708	-0.0446	0.9843
4.533379	0.1331	1.4169	0.5887	-0.0264	0.1511	-0.0529	0.9867
4.588928	0.1207	1.4302	0.5843	-0.0544	0.1266	-0.0668	0.9882
4.644485	0.1078	1.4267	0.5774	-0.0524	0.1036	-0.0765	0.9903
4.700043	0.0932	1.4087	0.5693	-0.0255	0.0789	-0.0909	0.9924
4.7556	0.0763	1.3765	0.5599	0.0284	0.0603	-0.1074	0.9920
4.811157	0.0579	1.3401	0.5484	0.0872	0.0261	-0.1186	0.9888
4.866707	0.0450	1.3068	0.5357	0.1597	0.0069	-0.1363	0.9777
4.922264	0.0383	1.2885	0.5264	0.1832	0.0004	-0.1345	0.9738
4.977821	0.0380	1.2812	0.5202	0.1900	0.0053	-0.1307	0.9730
5.033379	0.0394	1.2821	0.5185	0.1819	0.0076	-0.1315	0.9745
