ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
1,3,1,Flat,5,4,0.0117237,7.008388,10.96248,14.63845,16.03776,3.498816,8.263303,11.87344,15.48318,16.88177
1,4,2,Full Circle,5,2,2.34391,4.02068,6.042103,7.119439,8.18556,3.032554,4.875873,6.730754,7.774639,8.874509
1,5,3,Flat,5,1,0.016398,7.508133,8.252066,12.80558,25.56664,1.766271,8.496431,9.495869,13.38312,26.42225
1,6,4,Full Circle,5,2,0.5332711,0.577973,4.020535,6.15327,7.518982,2.088352,3.088168,4.781893,7.141452,8.407488
1,7,5,Flat,5,5,0.0119761,3.631862,6.141898,10.31786,13.99408,2.599065,5.297705,7.418943,11.3843,14.6714
1,8,6,Full Circle,5,1,0.0114737,0.211347,3.410138,5.175752,6.597277,1.766297,2.576945,4.065151,5.897995,7.297343
1,9,7,Flat,5,2,0.0113463,5.930791,7.063583,12.73908,13.70523,1.766394,7.119841,10.05187,13.23897,14.56095
1,10,8,Full Circle,5,2,0.0113599,4.60922,7.752521,9.518117,10.86285,1.577265,6.230735,8.651877,10.18452,11.76156
1,11,9,Flat,5,4,0.0117376,0.0117376,8.174178,13.21679,13.7495,1.999549,2.865654,9.251777,14.01615,14.84927
1,12,10,Full Circle,5,2,0.0888745,3.420977,5.764207,7.174589,8.196354,2.854279,4.431416,6.408353,7.752317,9.218088
1,13,11,Flat,5,2,0.2560834,3.243351,7.307974,11.33974,13.04985,1.966004,4.287254,8.31871,12.68339,13.87167
1,14,12,Full Circle,5,1,0.7332411,4.153862,4.99897,5.931119,6.797382,1.699732,4.564905,5.608859,6.586185,7.31921
1,15,13,Flat,5,5,0.0112397,28.45571,31.68716,36.26296,36.7961,2.243567,29.93242,32.47576,37.77341,38.57312
1,16,14,Full Circle,5,2,0.0112606,2.543669,4.75368,7.663421,10.25133,1.455075,3.21,5.975461,8.107988,11.19529
1,17,15,Flat,5,5,0.0115108,0.333162,3.876286,8.540719,10.16239,1.854855,2.121248,2.576533,4.442816,9.606894
1,18,16,Full Circle,5,4,0.0122625,2.287979,3.565484,4.375994,4.853668,1.577264,3.043127,4.164973,4.798051,5.39781
1,19,17,Flat,5,0,0.3888199,1.588285,3.154239,8.663034,10.29549,1.443979,2.410054,3.73223,9.706839,11.22859
1,20,18,Full Circle,5,1,2.077752,2.910061,3.254521,4.753726,4.886993,2.632752,3.399642,4.142882,5.453384,6.086679
