TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered,CardPlayed
100.8311,1,Training,1,Flat,Prepare,,,
107.1978,1,Training,1,Flat,ShowPattern,,,
108.0978,1,Training,1,Flat,Card,30,,,
113.2756,1,Training,1,Flat,Card,,30,,
118.02,1,Training,1,Flat,Card,2,,,
119.1756,1,Training,1,Flat,Card,25,,,
119.62,1,Training,1,Flat,Card,,2,,
121.3867,1,Training,1,Flat,Card,,25,,
125.52,1,Training,1,Flat,Card,20,,,
126.3422,1,Training,1,Flat,Card,,20,,
127.3756,1,Training,1,Flat,Card,11,,,
128.1756,1,Training,1,Flat,Card,,11,,
128.1756,1,Training,1,Flat,Distractor,,,
130.8422,1,Training,1,Flat,Task: 8,,,
133.3533,1,Training,1,Flat,CardGame,,,,8
133.3533,1,Training,1,Flat,Task: 6,,,
135.1756,1,Training,1,Flat,CardGame,,,,6
135.1756,1,Training,1,Flat,Task: 8,,,
136.7756,1,Training,1,Flat,CardGame,,,,8
136.7756,1,Training,1,Flat,Task: 3,,,
138.3756,1,Training,1,Flat,CardGame,,,,3
138.3756,1,Training,1,Flat,Task: 2,,,
139.8311,1,Training,1,Flat,CardGame,,,,2
139.8311,1,Training,1,Flat,Task: 2,,,
141.3311,1,Training,1,Flat,CardGame,,,,2
141.3311,1,Training,1,Flat,Task: 8,,,
143.1533,1,Training,1,Flat,CardGame,,,,8
143.1533,1,Training,1,Flat,Task: 3,,,
144.6756,1,Training,1,Flat,CardGame,,,,3
144.6756,1,Training,1,Flat,Task: 1,,,
145.7978,1,Training,1,Flat,SelectedCards,,,
152.2978,1,Training,1,Flat,Card,,,30,
156.92,1,Training,1,Flat,Card,,,25,
159.8867,1,Training,1,Flat,Card,,,2,
164.8311,1,Training,1,Flat,Card,,,10,
169.1422,1,Training,1,Flat,Card,,,8,
174.5089,1,Training,1,Flat,Result,,,
185.5533,2,Training,1,Full Circle,Prepare,,,
190.8645,2,Training,1,Full Circle,ShowPattern,,,
190.8756,2,Training,1,Full Circle,Card,15,,,
191.9311,2,Training,1,Full Circle,Card,25,,,
198.5533,2,Training,1,Full Circle,Card,,25,,
199.5089,2,Training,1,Full Circle,Card,,15,,
200.1089,2,Training,1,Full Circle,Card,6,,,
201.22,2,Training,1,Full Circle,Card,,6,,
201.9756,2,Training,1,Full Circle,Card,10,,,
202.8645,2,Training,1,Full Circle,Card,35,,,
202.8756,2,Training,1,Full Circle,Card,,10,,
203.82,2,Training,1,Full Circle,Card,,35,,
205.82,2,Training,1,Full Circle,Distractor,,,
205.82,2,Training,1,Full Circle,Task: 3,,,
209.4756,2,Training,1,Full Circle,CardGame,,,,3
209.4756,2,Training,1,Full Circle,Task: 6,,,
211.5978,2,Training,1,Full Circle,CardGame,,,,6
211.5978,2,Training,1,Full Circle,Task: 5,,,
213.0645,2,Training,1,Full Circle,CardGame,,,,5
213.0645,2,Training,1,Full Circle,Task: 6,,,
214.5756,2,Training,1,Full Circle,CardGame,,,,6
214.5756,2,Training,1,Full Circle,Task: 7,,,
216.8756,2,Training,1,Full Circle,CardGame,,,,7
216.8756,2,Training,1,Full Circle,Task: 4,,,
218.1311,2,Training,1,Full Circle,CardGame,,,,4
218.1311,2,Training,1,Full Circle,Task: 8,,,
219.5533,2,Training,1,Full Circle,CardGame,,,,8
219.5533,2,Training,1,Full Circle,Task: 7,,,
220.7756,2,Training,1,Full Circle,SelectedCards,,,
224.7645,2,Training,1,Full Circle,Card,,,13,
225.3756,2,Training,1,Full Circle,Card,,,26,
228.0311,2,Training,1,Full Circle,Card,,,17,
