ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
5,3,1,Flat,5,0,0.0159255,0.0159255,0.4127906,0.7699702,6.722811,4.245949,5.590024,8.221973,9.599615,12.0649
5,4,2,Semi-Circle,5,2,0.0142328,0.9448687,3.499117,4.065722,4.642992,6.065173,7.830381,9.563422,11.28447,13.58331
5,5,3,Flat,5,4,0.0137844,1.155869,1.49998,7.76165,7.818158,4.753972,6.429072,8.06388,10.85125,12.20378
5,6,4,Semi-Circle,5,3,0.0142608,1.00082,1.256346,4.910174,5.165612,7.131543,8.153253,10.21923,11.90705,12.83994
5,7,5,Flat,5,3,0.0134369,0.0134369,1.033399,1.110933,10.25166,4.806689,6.753412,9.718251,11.63953,13.18339
5,8,6,Semi-Circle,5,2,0.0148732,0.8878165,1.021019,12.92686,14.31145,4.919346,6.529659,11.43899,14.03752,14.73701
5,9,7,Flat,5,2,0.0158052,0.3868448,0.522177,7.28611,7.430273,4.264951,5.553446,8.396498,10.40662,11.33964
5,10,8,Semi-Circle,5,2,0.0135243,1.399716,1.821888,9.740745,9.984931,4.098533,5.575592,8.807793,11.59305,12.27253
5,11,9,Flat,5,3,0.0156064,0.0156064,1.035641,11.23416,11.31777,4.745112,8.565911,9.676649,12.94169,13.87472
5,12,10,Semi-Circle,5,5,0.0133806,0.0133806,1.100042,7.908122,10.10714,3.454535,6.164362,7.152791,9.485166,10.68463
5,13,11,Flat,5,2,0.015771,0.015771,2.199545,2.521755,10.97372,5.629367,7.674441,10.74045,13.01723,13.93922
5,14,12,Semi-Circle,5,5,0.0146165,1.810533,3.298607,8.840853,11.48425,2.776832,4.69818,6.753069,10.04029,12.87231
5,15,13,Flat,5,3,0.0142441,0.0142441,0.744431,10.84103,10.87322,3.931867,6.508575,9.418221,13.28326,14.14982
5,16,14,Semi-Circle,5,2,0.0134987,0.4891148,1.05553,8.552193,8.90308,3.08775,4.87601,6.108803,9.740383,10.5735
5,17,15,Flat,5,5,0.0149058,0.0149058,0.9019565,10.72891,10.89572,4.276201,6.186871,9.796617,12.28381,13.46101
5,18,16,Semi-Circle,5,0,0.4333577,1.144396,3.243351,9.529521,12.10614,6.019839,7.319468,8.519105,10.76239,11.5064
5,19,17,Flat,5,4,0.0151254,0.2988377,1.466512,3.432176,3.53223,7.3638,8.485604,11.39557,12.26167,13.73913
5,20,18,Semi-Circle,5,0,0.0158611,0.0158611,5.408662,7.740849,8.059707,2.943039,3.942456,6.685891,9.617675,10.39536
