Timestamp	Position.x	Position.y	Position.z	Rotation.x	Rotation.y	Rotation.z	Rotation.w
0.0435791	-0.0203	1.7163	-0.9576	-0.0088	-0.0549	-0.0321	0.9979
0.09913635	-0.0192	1.7167	-0.9570	-0.0121	-0.0552	-0.0332	0.9978
0.1546936	-0.0181	1.7174	-0.9558	-0.0172	-0.0554	-0.0338	0.9977
0.2102509	-0.0167	1.7177	-0.9548	-0.0195	-0.0548	-0.0358	0.9977
0.2658081	-0.0158	1.7175	-0.9541	-0.0200	-0.0533	-0.0366	0.9977
0.3213501	-0.0149	1.7175	-0.9534	-0.0219	-0.0520	-0.0379	0.9977
0.3769073	-0.0141	1.7179	-0.9529	-0.0252	-0.0500	-0.0386	0.9977
0.4324646	-0.0134	1.7192	-0.9522	-0.0316	-0.0479	-0.0395	0.9976
0.4880219	-0.0125	1.7229	-0.9516	-0.0510	-0.0457	-0.0399	0.9969
0.5435791	-0.0117	1.7260	-0.9515	-0.0685	-0.0429	-0.0398	0.9959
0.5991364	-0.0112	1.7266	-0.9519	-0.0713	-0.0422	-0.0402	0.9958
0.6546936	-0.0112	1.7264	-0.9515	-0.0710	-0.0425	-0.0407	0.9957
0.7102509	-0.0114	1.7264	-0.9502	-0.0704	-0.0426	-0.0416	0.9957
0.7658081	-0.0117	1.7267	-0.9485	-0.0691	-0.0403	-0.0427	0.9959
0.8213501	-0.0122	1.7265	-0.9473	-0.0661	-0.0373	-0.0422	0.9962
0.8769073	-0.0127	1.7265	-0.9454	-0.0643	-0.0339	-0.0423	0.9965
0.9324646	-0.0143	1.7261	-0.9437	-0.0600	-0.0310	-0.0425	0.9968
0.9880219	-0.0157	1.7257	-0.9419	-0.0547	-0.0285	-0.0425	0.9972
1.043579	-0.0177	1.7268	-0.9404	-0.0567	-0.0283	-0.0405	0.9972
1.099136	-0.0199	1.7283	-0.9398	-0.0610	-0.0299	-0.0394	0.9969
1.154694	-0.0221	1.7300	-0.9395	-0.0670	-0.0314	-0.0387	0.9965
1.210251	-0.0239	1.7306	-0.9395	-0.0685	-0.0320	-0.0383	0.9964
1.265808	-0.0250	1.7308	-0.9392	-0.0683	-0.0318	-0.0378	0.9964
1.32135	-0.0264	1.7310	-0.9386	-0.0683	-0.0314	-0.0365	0.9965
1.376907	-0.0272	1.7306	-0.9382	-0.0651	-0.0312	-0.0369	0.9967
1.432465	-0.0281	1.7300	-0.9378	-0.0625	-0.0312	-0.0369	0.9969
1.488022	-0.0288	1.7292	-0.9378	-0.0580	-0.0309	-0.0374	0.9971
1.543579	-0.0293	1.7288	-0.9378	-0.0562	-0.0307	-0.0375	0.9972
1.599136	-0.0296	1.7286	-0.9382	-0.0557	-0.0305	-0.0380	0.9973
1.654694	-0.0300	1.7283	-0.9387	-0.0541	-0.0301	-0.0380	0.9974
1.710251	-0.0302	1.7281	-0.9390	-0.0536	-0.0297	-0.0381	0.9974
1.765808	-0.0304	1.7276	-0.9393	-0.0519	-0.0300	-0.0386	0.9975
1.82135	-0.0311	1.7270	-0.9396	-0.0493	-0.0305	-0.0386	0.9976
1.876907	-0.0314	1.7267	-0.9400	-0.0475	-0.0318	-0.0384	0.9976
1.932465	-0.0321	1.7265	-0.9405	-0.0474	-0.0331	-0.0377	0.9976
1.988022	-0.0325	1.7261	-0.9407	-0.0458	-0.0335	-0.0382	0.9977
2.043579	-0.0329	1.7257	-0.9413	-0.0444	-0.0331	-0.0378	0.9977
2.099136	-0.0330	1.7255	-0.9417	-0.0439	-0.0329	-0.0371	0.9978
2.154694	-0.0330	1.7255	-0.9421	-0.0439	-0.0327	-0.0371	0.9978
2.210251	-0.0327	1.7256	-0.9427	-0.0458	-0.0331	-0.0372	0.9977
2.265808	-0.0327	1.7256	-0.9430	-0.0452	-0.0338	-0.0371	0.9977
2.32135	-0.0327	1.7252	-0.9429	-0.0435	-0.0344	-0.0362	0.9978
2.376907	-0.0325	1.7250	-0.9427	-0.0427	-0.0357	-0.0354	0.9978
2.432465	-0.0323	1.7248	-0.9428	-0.0417	-0.0370	-0.0349	0.9978
2.488022	-0.0322	1.7246	-0.9428	-0.0414	-0.0382	-0.0347	0.9978
2.543579	-0.0317	1.7247	-0.9430	-0.0419	-0.0392	-0.0348	0.9977
2.599136	-0.0308	1.7247	-0.9428	-0.0418	-0.0391	-0.0359	0.9977
2.654694	-0.0303	1.7249	-0.9425	-0.0434	-0.0388	-0.0355	0.9977
2.710251	-0.0294	1.7249	-0.9424	-0.0444	-0.0389	-0.0356	0.9976
2.765808	-0.0284	1.7253	-0.9421	-0.0460	-0.0404	-0.0353	0.9975
2.82135	-0.0277	1.7254	-0.9417	-0.0465	-0.0416	-0.0354	0.9974
2.876907	-0.0268	1.7254	-0.9412	-0.0470	-0.0428	-0.0351	0.9974
2.932465	-0.0256	1.7254	-0.9408	-0.0477	-0.0433	-0.0356	0.9973
2.988022	-0.0239	1.7254	-0.9396	-0.0477	-0.0422	-0.0361	0.9973
3.043579	-0.0222	1.7252	-0.9386	-0.0464	-0.0402	-0.0365	0.9974
3.099136	-0.0204	1.7250	-0.9373	-0.0461	-0.0383	-0.0373	0.9975
3.154694	-0.0188	1.7249	-0.9365	-0.0460	-0.0364	-0.0383	0.9975
3.210251	-0.0170	1.7249	-0.9356	-0.0462	-0.0352	-0.0381	0.9976
3.265808	-0.0150	1.7247	-0.9346	-0.0463	-0.0351	-0.0383	0.9976
3.32135	-0.0132	1.7246	-0.9336	-0.0463	-0.0354	-0.0389	0.9975
3.376907	-0.0113	1.7241	-0.9329	-0.0452	-0.0355	-0.0394	0.9976
3.432465	-0.0094	1.7240	-0.9317	-0.0456	-0.0351	-0.0403	0.9975
3.488022	-0.0072	1.7237	-0.9306	-0.0447	-0.0341	-0.0414	0.9976
3.543579	-0.0056	1.7235	-0.9296	-0.0446	-0.0335	-0.0417	0.9976
3.599136	-0.0039	1.7234	-0.9281	-0.0444	-0.0342	-0.0423	0.9975
3.654694	-0.0028	1.7236	-0.9269	-0.0444	-0.0355	-0.0424	0.9975
3.710251	-0.0018	1.7238	-0.9256	-0.0453	-0.0375	-0.0423	0.9974
3.765808	-0.0007	1.7242	-0.9243	-0.0477	-0.0401	-0.0418	0.9972
3.82135	-0.0005	1.7246	-0.9232	-0.0492	-0.0439	-0.0406	0.9970
3.876907	-0.0004	1.7245	-0.9222	-0.0496	-0.0498	-0.0393	0.9968
3.932465	-0.0005	1.7243	-0.9210	-0.0494	-0.0570	-0.0388	0.9964
3.988022	-0.0010	1.7239	-0.9198	-0.0474	-0.0654	-0.0384	0.9960
4.043579	-0.0014	1.7235	-0.9185	-0.0459	-0.0743	-0.0379	0.9955
4.099136	-0.0017	1.7231	-0.9173	-0.0442	-0.0822	-0.0377	0.9949
4.154694	-0.0022	1.7229	-0.9162	-0.0426	-0.0896	-0.0377	0.9944
4.210251	-0.0025	1.7227	-0.9148	-0.0412	-0.0951	-0.0373	0.9939
4.265808	-0.0028	1.7227	-0.9136	-0.0401	-0.1006	-0.0371	0.9934
4.32135	-0.0029	1.7225	-0.9128	-0.0395	-0.1053	-0.0383	0.9929
4.376907	-0.0030	1.7225	-0.9120	-0.0402	-0.1090	-0.0383	0.9925
4.432465	-0.0032	1.7224	-0.9113	-0.0399	-0.1100	-0.0380	0.9924
4.488022	-0.0030	1.7221	-0.9109	-0.0389	-0.1101	-0.0370	0.9925
4.543579	-0.0032	1.7217	-0.9103	-0.0371	-0.1108	-0.0367	0.9925
4.599136	-0.0029	1.7216	-0.9101	-0.0371	-0.1122	-0.0372	0.9923
4.654694	-0.0026	1.7214	-0.9097	-0.0369	-0.1130	-0.0377	0.9922
4.710251	-0.0025	1.7216	-0.9094	-0.0379	-0.1118	-0.0384	0.9923
4.765808	-0.0024	1.7218	-0.9091	-0.0388	-0.1098	-0.0388	0.9924
4.82135	-0.0020	1.7219	-0.9085	-0.0395	-0.1076	-0.0394	0.9926
4.876907	-0.0019	1.7219	-0.9079	-0.0396	-0.1059	-0.0394	0.9928
4.932465	-0.0020	1.7216	-0.9068	-0.0387	-0.1049	-0.0389	0.9930
4.988022	-0.0019	1.7209	-0.9058	-0.0348	-0.1043	-0.0392	0.9932
5.043579	-0.0012	1.7199	-0.9038	-0.0296	-0.1016	-0.0405	0.9936
5.099136	0.0011	1.7189	-0.9016	-0.0250	-0.0895	-0.0429	0.9947
5.154694	0.0048	1.7218	-0.9000	-0.0425	-0.0624	-0.0409	0.9963
5.210251	0.0083	1.7234	-0.8999	-0.0492	-0.0401	-0.0395	0.9972
5.265808	0.0109	1.7238	-0.8999	-0.0508	-0.0275	-0.0404	0.9975
5.32135	0.0130	1.7234	-0.8992	-0.0493	-0.0203	-0.0427	0.9977
5.376907	0.0147	1.7232	-0.8983	-0.0489	-0.0122	-0.0468	0.9976
5.432465	0.0165	1.7229	-0.8972	-0.0474	-0.0041	-0.0502	0.9976
5.488022	0.0182	1.7228	-0.8961	-0.0470	0.0029	-0.0503	0.9976
5.543579	0.0189	1.7227	-0.8953	-0.0471	0.0077	-0.0506	0.9976
5.599136	0.0191	1.7231	-0.8944	-0.0480	0.0091	-0.0498	0.9976
5.654694	0.0186	1.7230	-0.8940	-0.0478	0.0076	-0.0490	0.9976
5.710251	0.0181	1.7230	-0.8932	-0.0476	0.0047	-0.0486	0.9977
5.765808	0.0172	1.7232	-0.8926	-0.0480	0.0018	-0.0481	0.9977
5.82135	0.0166	1.7236	-0.8920	-0.0489	-0.0013	-0.0471	0.9977
5.876907	0.0159	1.7238	-0.8916	-0.0492	-0.0037	-0.0464	0.9977
5.932465	0.0152	1.7241	-0.8915	-0.0496	-0.0051	-0.0469	0.9977
5.988022	0.0152	1.7243	-0.8916	-0.0509	-0.0058	-0.0472	0.9976
6.043579	0.0155	1.7242	-0.8917	-0.0511	-0.0055	-0.0470	0.9976
6.099136	0.0160	1.7241	-0.8921	-0.0503	-0.0054	-0.0467	0.9976
6.154694	0.0161	1.7240	-0.8927	-0.0502	-0.0063	-0.0469	0.9976
6.210251	0.0164	1.7238	-0.8935	-0.0498	-0.0075	-0.0470	0.9976
6.265808	0.0167	1.7238	-0.8945	-0.0501	-0.0094	-0.0473	0.9976
6.32135	0.0166	1.7239	-0.8955	-0.0507	-0.0112	-0.0473	0.9975
6.376907	0.0169	1.7240	-0.8964	-0.0511	-0.0136	-0.0463	0.9975
6.432465	0.0169	1.7237	-0.8978	-0.0507	-0.0162	-0.0467	0.9975
6.488022	0.0172	1.7236	-0.8986	-0.0496	-0.0181	-0.0471	0.9975
6.543579	0.0173	1.7234	-0.8996	-0.0488	-0.0197	-0.0470	0.9975
6.599136	0.0174	1.7231	-0.9003	-0.0473	-0.0212	-0.0472	0.9975
6.654694	0.0177	1.7232	-0.9007	-0.0466	-0.0230	-0.0472	0.9975
6.710251	0.0178	1.7230	-0.9013	-0.0456	-0.0248	-0.0471	0.9975
6.765808	0.0177	1.7230	-0.9017	-0.0441	-0.0261	-0.0475	0.9976
6.82135	0.0181	1.7228	-0.9023	-0.0422	-0.0271	-0.0481	0.9976
6.876907	0.0182	1.7228	-0.9027	-0.0407	-0.0272	-0.0483	0.9976
6.932465	0.0184	1.7228	-0.9030	-0.0398	-0.0268	-0.0485	0.9977
6.988022	0.0185	1.7227	-0.9035	-0.0385	-0.0256	-0.0493	0.9977
7.043579	0.0185	1.7227	-0.9039	-0.0378	-0.0242	-0.0491	0.9978
7.099136	0.0184	1.7225	-0.9044	-0.0367	-0.0229	-0.0489	0.9979
7.154694	0.0182	1.7226	-0.9048	-0.0362	-0.0224	-0.0482	0.9979
7.210251	0.0181	1.7226	-0.9051	-0.0355	-0.0231	-0.0476	0.9980
7.265808	0.0178	1.7225	-0.9051	-0.0348	-0.0243	-0.0472	0.9980
7.32135	0.0178	1.7223	-0.9052	-0.0339	-0.0248	-0.0465	0.9980
7.376907	0.0175	1.7223	-0.9052	-0.0329	-0.0254	-0.0459	0.9981
7.432465	0.0170	1.7218	-0.9049	-0.0304	-0.0267	-0.0454	0.9981
7.488022	0.0161	1.7209	-0.9044	-0.0252	-0.0282	-0.0454	0.9982
7.543579	0.0156	1.7192	-0.9034	-0.0152	-0.0298	-0.0444	0.9985
7.599136	0.0142	1.7158	-0.9023	-0.0003	-0.0347	-0.0437	0.9984
7.654694	0.0130	1.7150	-0.9020	0.0057	-0.0430	-0.0446	0.9981
7.710251	0.0119	1.7166	-0.9025	-0.0007	-0.0500	-0.0438	0.9978
7.765808	0.0114	1.7176	-0.9031	-0.0060	-0.0544	-0.0435	0.9976
7.82135	0.0114	1.7175	-0.9036	-0.0060	-0.0565	-0.0436	0.9974
