Timestamp	Position.x	Position.y	Position.z	Rotation.x	Rotation.y	Rotation.z	Rotation.w
0.0358429	0.1206	1.3397	-0.5371	-0.1498	-0.0367	-0.2633	0.9523
0.09140015	0.1206	1.3397	-0.5371	-0.1498	-0.0367	-0.2633	0.9523
0.1469421	0.1206	1.3397	-0.5371	-0.1498	-0.0367	-0.2633	0.9523
0.2024994	0.1206	1.3397	-0.5371	-0.1498	-0.0367	-0.2633	0.9523
0.2580566	0.1206	1.3397	-0.5371	-0.1498	-0.0367	-0.2633	0.9523
0.3136139	0.1206	1.3397	-0.5371	-0.1498	-0.0367	-0.2633	0.9523
0.3691711	0.1210	1.3389	-0.5381	-0.1501	-0.0368	-0.2629	0.9524
0.4247284	0.1212	1.3315	-0.5457	-0.1499	-0.0398	-0.2590	0.9534
0.4802856	0.1227	1.3219	-0.5503	-0.1356	-0.0337	-0.2649	0.9541
0.5358429	0.1241	1.3110	-0.5558	-0.1251	-0.0242	-0.2735	0.9534
0.5914001	0.1232	1.2980	-0.5622	-0.1134	-0.0227	-0.2729	0.9551
0.6469421	0.1234	1.2823	-0.5676	-0.0945	-0.0183	-0.2752	0.9566
0.7024994	0.1238	1.2660	-0.5711	-0.0683	-0.0041	-0.2771	0.9584
0.7580566	0.1235	1.2550	-0.5744	-0.0570	-0.0049	-0.2743	0.9599
0.8136139	0.1247	1.2469	-0.5752	-0.0469	0.0040	-0.2726	0.9610
0.8691711	0.1266	1.2413	-0.5765	-0.0384	0.0121	-0.2755	0.9605
0.9247284	0.1278	1.2399	-0.5774	-0.0420	0.0132	-0.2716	0.9614
0.9802856	0.1289	1.2394	-0.5784	-0.0435	0.0182	-0.2680	0.9623
1.035843	0.1298	1.2391	-0.5790	-0.0472	0.0197	-0.2654	0.9628
1.0914	0.1319	1.2378	-0.5782	-0.0431	0.0255	-0.2667	0.9625
1.146942	0.1338	1.2386	-0.5764	-0.0464	0.0262	-0.2644	0.9629
1.202499	0.1361	1.2399	-0.5741	-0.0521	0.0324	-0.2554	0.9649
1.258057	0.1363	1.2416	-0.5717	-0.0563	0.0375	-0.2514	0.9655
1.313614	0.1360	1.2439	-0.5705	-0.0578	0.0369	-0.2565	0.9641
1.369171	0.1336	1.2471	-0.5712	-0.0632	0.0319	-0.2566	0.9639
1.424728	0.1307	1.2491	-0.5723	-0.0667	0.0257	-0.2538	0.9646
1.480286	0.1280	1.2480	-0.5743	-0.0659	0.0212	-0.2530	0.9650
1.535843	0.1275	1.2454	-0.5764	-0.0617	0.0245	-0.2531	0.9652
1.5914	0.1290	1.2424	-0.5774	-0.0598	0.0296	-0.2533	0.9651
1.646942	0.1320	1.2388	-0.5800	-0.0593	0.0405	-0.2472	0.9663
1.702499	0.1352	1.2362	-0.5812	-0.0594	0.0490	-0.2401	0.9677
1.758057	0.1373	1.2321	-0.5827	-0.0555	0.0590	-0.2356	0.9685
1.813614	0.1378	1.2282	-0.5850	-0.0526	0.0653	-0.2296	0.9697
1.869171	0.1376	1.2237	-0.5872	-0.0458	0.0669	-0.2280	0.9703
1.924728	0.1366	1.2182	-0.5904	-0.0393	0.0716	-0.2247	0.9710
1.980286	0.1352	1.2137	-0.5935	-0.0342	0.0748	-0.2240	0.9711
2.035843	0.1343	1.2091	-0.5963	-0.0279	0.0804	-0.2251	0.9706
2.0914	0.1329	1.2054	-0.5993	-0.0240	0.0849	-0.2264	0.9700
2.146942	0.1313	1.2036	-0.6005	-0.0221	0.0869	-0.2273	0.9697
2.202499	0.1301	1.2025	-0.6020	-0.0221	0.0896	-0.2256	0.9698
2.258057	0.1284	1.2026	-0.6037	-0.0245	0.0912	-0.2231	0.9702
2.313614	0.1270	1.2026	-0.6052	-0.0272	0.0918	-0.2189	0.9710
2.369171	0.1264	1.2025	-0.6070	-0.0279	0.0950	-0.2155	0.9715
2.424728	0.1265	1.2024	-0.6094	-0.0278	0.0987	-0.2151	0.9712
2.480286	0.1277	1.2021	-0.6114	-0.0280	0.1038	-0.2141	0.9709
2.535843	0.1287	1.2019	-0.6142	-0.0290	0.1095	-0.2125	0.9706
2.5914	0.1297	1.2021	-0.6161	-0.0313	0.1115	-0.2101	0.9708
2.646942	0.1305	1.2021	-0.6178	-0.0319	0.1162	-0.2109	0.9700
2.702499	0.1309	1.2014	-0.6204	-0.0326	0.1191	-0.2109	0.9697
2.758057	0.1296	1.2017	-0.6210	-0.0333	0.1186	-0.2100	0.9699
2.813614	0.1290	1.2020	-0.6219	-0.0334	0.1176	-0.2111	0.9698
2.869171	0.1290	1.2038	-0.6234	-0.0390	0.1186	-0.2104	0.9696
2.924728	0.1297	1.2045	-0.6240	-0.0415	0.1196	-0.2128	0.9689
2.980286	0.1314	1.2036	-0.6238	-0.0427	0.1230	-0.2115	0.9687
3.035843	0.1327	1.2013	-0.6246	-0.0387	0.1256	-0.2124	0.9683
3.0914	0.1342	1.1999	-0.6250	-0.0368	0.1235	-0.2136	0.9684
3.146942	0.1363	1.2004	-0.6260	-0.0402	0.1187	-0.2143	0.9687
3.202499	0.1401	1.2010	-0.6276	-0.0421	0.1173	-0.2173	0.9681
3.258057	0.1459	1.2015	-0.6281	-0.0449	0.1151	-0.2195	0.9678
3.313614	0.1530	1.2007	-0.6299	-0.0441	0.1155	-0.2224	0.9671
3.369171	0.1614	1.2001	-0.6309	-0.0447	0.1139	-0.2236	0.9670
3.424728	0.1707	1.1985	-0.6317	-0.0430	0.1127	-0.2247	0.9669
3.480286	0.1778	1.1973	-0.6324	-0.0379	0.1106	-0.2209	0.9683
3.535843	0.1910	1.1980	-0.6369	-0.0307	0.1106	-0.2289	0.9667
3.5914	0.2008	1.2019	-0.6409	-0.0426	0.0986	-0.2197	0.9696
3.646942	0.2138	1.2025	-0.6446	-0.0397	0.1024	-0.2166	0.9701
3.702499	0.2275	1.2031	-0.6476	-0.0406	0.1072	-0.2148	0.9699
3.758057	0.2388	1.2052	-0.6524	-0.0456	0.1058	-0.2126	0.9703
3.813614	0.2482	1.2063	-0.6575	-0.0491	0.1034	-0.2097	0.9710
3.869171	0.2572	1.2056	-0.6622	-0.0498	0.1039	-0.2037	0.9722
3.924728	0.2655	1.2023	-0.6661	-0.0442	0.1055	-0.2046	0.9721
3.980286	0.2723	1.1974	-0.6686	-0.0347	0.1077	-0.2012	0.9730
4.035843	0.2784	1.1938	-0.6703	-0.0304	0.1090	-0.2000	0.9732
4.0914	0.2836	1.1910	-0.6707	-0.0288	0.1114	-0.1957	0.9739
4.146942	0.2906	1.1892	-0.6711	-0.0262	0.1205	-0.1881	0.9744
4.202499	0.2969	1.1890	-0.6728	-0.0282	0.1289	-0.1829	0.9742
4.258057	0.3032	1.1899	-0.6755	-0.0323	0.1415	-0.1742	0.9740
4.313614	0.3077	1.1916	-0.6815	-0.0397	0.1549	-0.1695	0.9725
4.369171	0.3103	1.1930	-0.6900	-0.0454	0.1716	-0.1666	0.9699
4.424728	0.3103	1.1931	-0.7009	-0.0512	0.1863	-0.1658	0.9670
4.480286	0.3073	1.1913	-0.7138	-0.0554	0.2000	-0.1625	0.9646
4.535843	0.3025	1.1868	-0.7272	-0.0517	0.2196	-0.1583	0.9613
4.5914	0.2967	1.1829	-0.7393	-0.0423	0.2357	-0.1682	0.9562
4.646942	0.2852	1.1797	-0.7566	-0.0445	0.2438	-0.1758	0.9527
4.702499	0.2783	1.1778	-0.7718	-0.0428	0.2605	-0.1816	0.9473
4.758057	0.2707	1.1757	-0.7875	-0.0432	0.2691	-0.1867	0.9439
4.813614	0.2657	1.1722	-0.8019	-0.0405	0.2803	-0.1842	0.9412
4.869171	0.2620	1.1665	-0.8158	-0.0355	0.2902	-0.1821	0.9388
4.924728	0.2598	1.1602	-0.8276	-0.0253	0.3038	-0.1786	0.9355
4.980286	0.2568	1.1561	-0.8377	-0.0225	0.3089	-0.1769	0.9342
5.035843	0.2536	1.1530	-0.8456	-0.0226	0.3127	-0.1761	0.9331
5.0914	0.2519	1.1497	-0.8515	-0.0193	0.3197	-0.1788	0.9303
5.146942	0.2494	1.1474	-0.8547	-0.0203	0.3222	-0.1789	0.9294
5.202499	0.2466	1.1442	-0.8565	-0.0167	0.3244	-0.1777	0.9289
5.258057	0.2412	1.1420	-0.8549	-0.0140	0.3204	-0.1771	0.9305
5.313614	0.2354	1.1413	-0.8505	-0.0101	0.3146	-0.1764	0.9326
5.369171	0.2302	1.1415	-0.8448	-0.0073	0.3070	-0.1777	0.9349
5.424728	0.2244	1.1437	-0.8351	-0.0050	0.2973	-0.1790	0.9378
5.480286	0.2194	1.1487	-0.8186	-0.0084	0.2815	-0.1762	0.9432
5.535843	0.2166	1.1525	-0.8008	-0.0099	0.2689	-0.1731	0.9474
5.5914	0.2138	1.1581	-0.7809	-0.0155	0.2535	-0.1717	0.9519
5.646942	0.2114	1.1642	-0.7627	-0.0219	0.2378	-0.1736	0.9554
5.702499	0.2063	1.1747	-0.7352	-0.0335	0.2088	-0.1768	0.9613
5.758057	0.2042	1.1834	-0.7119	-0.0413	0.1865	-0.1794	0.9650
5.813614	0.2035	1.1928	-0.6884	-0.0508	0.1652	-0.1820	0.9680
5.869171	0.2030	1.2014	-0.6667	-0.0608	0.1439	-0.1794	0.9713
5.924728	0.2042	1.2105	-0.6468	-0.0719	0.1263	-0.1811	0.9727
5.980286	0.2055	1.2190	-0.6321	-0.0869	0.1072	-0.1832	0.9734
6.035843	0.2066	1.2232	-0.6204	-0.0977	0.0916	-0.1785	0.9748
6.0914	0.2086	1.2214	-0.6107	-0.0918	0.0813	-0.1827	0.9755
6.146942	0.2112	1.2162	-0.6028	-0.0813	0.0742	-0.1832	0.9769
6.202499	0.2138	1.2112	-0.5966	-0.0758	0.0710	-0.1761	0.9789
6.258057	0.2152	1.2078	-0.5927	-0.0654	0.0696	-0.1796	0.9791
6.313614	0.2177	1.2080	-0.5909	-0.0686	0.0676	-0.1893	0.9772
6.369171	0.2193	1.2072	-0.5891	-0.0778	0.0680	-0.1874	0.9768
6.424728	0.2209	1.2020	-0.5862	-0.0718	0.0810	-0.1862	0.9765
6.480286	0.2218	1.1987	-0.5845	-0.0577	0.0988	-0.1936	0.9744
6.535843	0.2171	1.2008	-0.5835	-0.0638	0.0925	-0.2017	0.9730
6.5914	0.2105	1.2030	-0.5815	-0.0660	0.0828	-0.1970	0.9747
6.646942	0.2047	1.2044	-0.5790	-0.0647	0.0745	-0.1913	0.9766
6.702499	0.1993	1.2063	-0.5766	-0.0665	0.0702	-0.1887	0.9773
6.758057	0.1931	1.2084	-0.5749	-0.0696	0.0655	-0.1904	0.9771
6.813614	0.1882	1.2105	-0.5739	-0.0766	0.0578	-0.1918	0.9767
6.869171	0.1850	1.2108	-0.5730	-0.0807	0.0548	-0.1912	0.9767
6.924728	0.1832	1.2082	-0.5732	-0.0701	0.0636	-0.1885	0.9775
6.980286	0.1805	1.2080	-0.5760	-0.0703	0.0590	-0.1951	0.9765
7.035843	0.1774	1.2088	-0.5786	-0.0784	0.0496	-0.1878	0.9778
7.0914	0.1760	1.2076	-0.5803	-0.0781	0.0487	-0.1857	0.9783
7.146942	0.1752	1.2062	-0.5818	-0.0713	0.0550	-0.1884	0.9780
7.202499	0.1742	1.2071	-0.5843	-0.0741	0.0532	-0.1941	0.9767
7.258057	0.1715	1.2083	-0.5869	-0.0767	0.0485	-0.1954	0.9765
7.313614	0.1691	1.2080	-0.5889	-0.0743	0.0465	-0.1991	0.9760
7.369171	0.1682	1.2075	-0.5908	-0.0712	0.0466	-0.2015	0.9758
7.424728	0.1668	1.2078	-0.5927	-0.0728	0.0426	-0.2047	0.9752
7.480286	0.1666	1.2069	-0.5940	-0.0708	0.0398	-0.2026	0.9759
7.535843	0.1684	1.2049	-0.5941	-0.0666	0.0409	-0.2006	0.9765
7.5914	0.1707	1.2024	-0.5935	-0.0636	0.0432	-0.1968	0.9774
7.646942	0.1727	1.2003	-0.5917	-0.0581	0.0470	-0.1948	0.9780
7.702499	0.1739	1.1986	-0.5891	-0.0518	0.0499	-0.1920	0.9788
7.758057	0.1730	1.1987	-0.5864	-0.0513	0.0464	-0.1926	0.9788
7.813614	0.1715	1.1992	-0.5833	-0.0544	0.0401	-0.1920	0.9791
7.869171	0.1718	1.1993	-0.5797	-0.0528	0.0400	-0.1956	0.9784
7.924728	0.1727	1.1999	-0.5763	-0.0529	0.0413	-0.1973	0.9780
7.980286	0.1725	1.2006	-0.5733	-0.0519	0.0399	-0.1982	0.9780
8.035843	0.1730	1.2012	-0.5708	-0.0492	0.0363	-0.1973	0.9784
8.0914	0.1723	1.2010	-0.5692	-0.0471	0.0309	-0.1948	0.9792
8.146942	0.1697	1.2001	-0.5674	-0.0414	0.0253	-0.1890	0.9808
8.202499	0.1650	1.2004	-0.5666	-0.0399	0.0150	-0.1804	0.9827
8.258057	0.1594	1.2037	-0.5661	-0.0383	0.0070	-0.1679	0.9850
8.313614	0.1553	1.2110	-0.5680	-0.0396	0.0069	-0.1669	0.9852
8.369171	0.1507	1.2192	-0.5708	-0.0475	-0.0006	-0.1666	0.9849
8.424728	0.1463	1.2231	-0.5734	-0.0479	-0.0038	-0.1620	0.9856
8.480286	0.1413	1.2231	-0.5750	-0.0465	-0.0087	-0.1603	0.9859
8.535843	0.1375	1.2191	-0.5759	-0.0380	-0.0061	-0.1611	0.9862
8.5914	0.1333	1.2153	-0.5776	-0.0336	-0.0063	-0.1688	0.9851
8.646942	0.1288	1.2117	-0.5801	-0.0334	-0.0120	-0.1761	0.9837
8.702499	0.1248	1.2061	-0.5811	-0.0292	-0.0090	-0.1832	0.9826
8.758057	0.1233	1.2002	-0.5821	-0.0205	-0.0002	-0.1842	0.9827
8.813614	0.1215	1.1979	-0.5829	-0.0191	0.0034	-0.1924	0.9811
8.869171	0.1198	1.1972	-0.5833	-0.0191	0.0030	-0.1946	0.9807
8.924728	0.1196	1.1955	-0.5818	-0.0184	0.0022	-0.1927	0.9811
8.980286	0.1207	1.1937	-0.5789	-0.0139	0.0091	-0.1887	0.9819
9.035843	0.1205	1.1941	-0.5748	-0.0154	0.0068	-0.1867	0.9823
9.0914	0.1200	1.1955	-0.5714	-0.0197	0.0032	-0.1865	0.9823
9.146942	0.1185	1.1955	-0.5684	-0.0196	-0.0008	-0.1828	0.9830
9.202499	0.1168	1.1954	-0.5663	-0.0183	-0.0050	-0.1838	0.9828
