TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered,CardPlayed
209.0533,1,Training,9,Flat,Prepare,,,
252.1311,1,Training,9,Flat,ShowPattern,,,
252.1422,1,Training,9,Flat,Card,30,,,
253.1867,1,Training,9,Flat,Card,2,,,
253.3089,1,Training,9,Flat,Card,25,,,
258.1089,1,Training,9,Flat,Card,,25,,
260.0978,1,Training,9,Flat,Card,,2,,
262.0867,1,Training,9,Flat,Card,20,,,
262.2422,1,Training,9,Flat,Card,11,,,
264.4978,1,Training,9,Flat,Card,,30,,
266.1645,1,Training,9,Flat,Card,,20,,
267.9756,1,Training,9,Flat,Card,,11,,
267.9756,1,Training,9,Flat,Distractor,,,
271.3867,1,Training,9,Flat,Task: 5,,,
274.4089,1,Training,9,Flat,CardGame,,,,5
274.4089,1,Training,9,Flat,Task: 5,,,
278.0311,1,Training,9,Flat,CardGame,,,,5
278.0311,1,Training,9,Flat,Task: 6,,,
280.7311,1,Training,9,Flat,CardGame,,,,6
280.7311,1,Training,9,Flat,Task: 5,,,
282.8422,1,Training,9,Flat,CardGame,,,,5
282.8422,1,Training,9,Flat,Task: 1,,,
284.1978,1,Training,9,Flat,CardGame,,,,1
284.1978,1,Training,9,Flat,Task: 2,,,
285.5867,1,Training,9,Flat,CardGame,,,,2
285.5867,1,Training,9,Flat,Task: 1,,,
286.3422,1,Training,9,Flat,SelectedCards,,,
290.8422,1,Training,9,Flat,Card,,,26,
297.1756,1,Training,9,Flat,Card,,,31,
300.7867,1,Training,9,Flat,Card,,,22,
302.1867,1,Training,9,Flat,Card,,,11,
312.7533,1,Training,9,Flat,Card,,,4,
325.9311,1,Training,9,Flat,Result,,,
433.0756,2,Training,9,NULL,Prepare,,,
438.72,2,Training,9,NULL,ShowPattern,,,
438.7311,2,Training,9,NULL,Card,6,,,
439.7867,2,Training,9,NULL,Card,15,,,
440.0422,2,Training,9,NULL,Card,25,,,
442.2089,2,Training,9,NULL,Card,,25,,
443.8533,2,Training,9,NULL,Card,,15,,
445.62,2,Training,9,NULL,Card,,6,,
446.1867,2,Training,9,NULL,Card,10,,,
446.2978,2,Training,9,NULL,Card,35,,,
447.5867,2,Training,9,NULL,Card,,10,,
449.4867,2,Training,9,NULL,Card,,35,,
453.6756,2,Training,9,NULL,Distractor,,,
453.6756,2,Training,9,NULL,Task: 3,,,
456.6645,2,Training,9,NULL,CardGame,,,,3
456.6645,2,Training,9,NULL,Task: 4,,,
459.02,2,Training,9,NULL,CardGame,,,,4
459.02,2,Training,9,NULL,Task: 6,,,
461.9089,2,Training,9,NULL,CardGame,,,,6
461.9089,2,Training,9,NULL,Task: 2,,,
464.7645,2,Training,9,NULL,CardGame,,,,2
464.7645,2,Training,9,NULL,Task: 6,,,
466.6311,2,Training,9,NULL,CardGame,,,,6
466.6311,2,Training,9,NULL,Task: 8,,,
468.7311,2,Training,9,NULL,SelectedCards,,,
472.4311,2,Training,9,NULL,Card,,,25,
479.5089,2,Training,9,NULL,Card,,,4,
484.5089,2,Training,9,NULL,Card,,,9,
485.8978,2,Training,9,NULL,Card,,,35,
492.1978,2,Training,9,NULL,Card,,,6,
502.6311,2,Training,9,NULL,Result,,,
540.3422,3,1,9,Flat,Prepare,,,
544.4645,3,1,9,Flat,ShowPattern,,,
544.4756,3,1,9,Flat,Card,7,,,
544.4756,3,1,9,Flat,Card,17,,,
544.8978,3,1,9,Flat,Card,27,,,
545.0311,3,1,9,Flat,Card,25,,,
547.9978,3,1,9,Flat,Card,,25,,
549.4978,3,1,9,Flat,Card,,27,,
552.5645,3,1,9,Flat,Card,,17,,
554.5311,3,1,9,Flat,Card,,7,,
555.1422,3,1,9,Flat,Card,11,,,
556.7422,3,1,9,Flat,Card,,11,,
559.42,3,1,9,Flat,Distractor,,,
559.7645,3,1,9,Flat,Task: 3,,,
562.4978,3,1,9,Flat,CardGame,,,,3
562.4978,3,1,9,Flat,Task: 4,,,
564.3978,3,1,9,Flat,CardGame,,,,4
564.3978,3,1,9,Flat,Task: 6,,,
567.52,3,1,9,Flat,CardGame,,,,6
567.52,3,1,9,Flat,Task: 3,,,
569.12,3,1,9,Flat,CardGame,,,,3
569.12,3,1,9,Flat,Task: 8,,,
571.2422,3,1,9,Flat,CardGame,,,,8
571.2422,3,1,9,Flat,Task: 2,,,
573.2978,3,1,9,Flat,CardGame,,,,2
573.2978,3,1,9,Flat,Task: 3,,,
574.6978,3,1,9,Flat,SelectedCards,,,
578.2311,3,1,9,Flat,Card,,,25,
580.52,3,1,9,Flat,Card,,,27,
583.42,3,1,9,Flat,Card,,,17,
586.9756,3,1,9,Flat,Card,,,11,
591.9756,3,1,9,Flat,Card,,,7,
596.4645,3,1,9,Flat,Result,,,
598.0089,4,2,9,NULL,Prepare,,,
600.5645,4,2,9,NULL,ShowPattern,,,
600.5756,4,2,9,NULL,Card,6,,,
600.8311,4,2,9,NULL,Card,16,,,
601.5756,4,2,9,NULL,Card,0,,,
603.1644,4,2,9,NULL,Card,,0,,
605.0422,4,2,9,NULL,Card,,16,,
606.9312,4,2,9,NULL,Card,,6,,
607.62,4,2,9,NULL,Card,20,,,
608.0533,4,2,9,NULL,Card,34,,,
608.6311,4,2,9,NULL,Card,,20,,
610.2978,4,2,9,NULL,Card,,34,,
615.52,4,2,9,NULL,Distractor,,,
615.52,4,2,9,NULL,Task: 4,,,
618.3422,4,2,9,NULL,CardGame,,,,4
618.3422,4,2,9,NULL,Task: 8,,,
620.6978,4,2,9,NULL,CardGame,,,,8
620.6978,4,2,9,NULL,Task: 4,,,
623.2645,4,2,9,NULL,CardGame,,,,4
623.2645,4,2,9,NULL,Task: 6,,,
625.5422,4,2,9,NULL,CardGame,,,,6
625.5422,4,2,9,NULL,Task: 2,,,
629.5533,4,2,9,NULL,Task: 1,,,
629.92,4,2,9,NULL,CardGame,,,,5
629.92,4,2,9,NULL,Task: 1,,,
631.82,4,2,9,NULL,CardGame,,,,1
631.82,4,2,9,NULL,Task: 2,,,
633.9645,4,2,9,NULL,CardGame,,,,2
633.9645,4,2,9,NULL,Task: 5,,,
636.8089,4,2,9,NULL,CardGame,,,,5
636.8089,4,2,9,NULL,Task: 5,,,
638.4756,4,2,9,NULL,SelectedCards,,,
642.9645,4,2,9,NULL,Card,,,0,
649.1756,4,2,9,NULL,Card,,,16,
650.8533,4,2,9,NULL,Card,,,6,
654.5533,4,2,9,NULL,Card,,,26,
657.82,4,2,9,NULL,Card,,,35,
662.3422,4,2,9,NULL,Result,,,
663.8978,5,3,9,Flat,Prepare,,,
666.4534,5,3,9,Flat,ShowPattern,,,
666.4756,5,3,9,Flat,Card,6,,,
667.1089,5,3,9,Flat,Card,26,,,
667.1645,5,3,9,Flat,Card,1,,,
669.72,5,3,9,Flat,Card,,1,,
671.3422,5,3,9,Flat,Card,,26,,
672.72,5,3,9,Flat,Card,21,,,
672.9312,5,3,9,Flat,Card,35,,,
674.2978,5,3,9,Flat,Card,,6,,
680.0311,5,3,9,Flat,Card,,21,,
680.7534,5,3,9,Flat,Card,,35,,
681.42,5,3,9,Flat,Distractor,,,
683.6867,5,3,9,Flat,Task: 8,,,
686.2311,5,3,9,Flat,CardGame,,,,8
686.2311,5,3,9,Flat,Task: 2,,,
688.42,5,3,9,Flat,CardGame,,,,2
688.42,5,3,9,Flat,Task: 6,,,
691.22,5,3,9,Flat,CardGame,,,,6
691.22,5,3,9,Flat,Task: 1,,,
693.1645,5,3,9,Flat,CardGame,,,,1
693.1645,5,3,9,Flat,Task: 2,,,
694.9756,5,3,9,Flat,CardGame,,,,2
694.9756,5,3,9,Flat,Task: 4,,,
696.9423,5,3,9,Flat,CardGame,,,,4
696.9423,5,3,9,Flat,Task: 7,,,
698.6311,5,3,9,Flat,SelectedCards,,,
702.72,5,3,9,Flat,Card,,,1,
704.3089,5,3,9,Flat,Card,,,26,
710.3311,5,3,9,Flat,Card,,,8,
712.72,5,3,9,Flat,Card,,,10,
713.3978,5,3,9,Flat,Card,,,23,
718.1756,5,3,9,Flat,Result,,,
719.7311,6,4,9,NULL,Prepare,,,
723.2089,6,4,9,NULL,ShowPattern,,,
723.22,6,4,9,NULL,Card,16,,,
723.8422,6,4,9,NULL,Card,26,,,
723.9312,6,4,9,NULL,Card,1,,,
725.7756,6,4,9,NULL,Card,,1,,
727.0089,6,4,9,NULL,Card,,26,,
729.0867,6,4,9,NULL,Card,,16,,
730.9867,6,4,9,NULL,Card,34,,,
732.5756,6,4,9,NULL,Card,11,,,
733.9089,6,4,9,NULL,Card,,34,,
734.6422,6,4,9,NULL,Card,,11,,
738.1756,6,4,9,NULL,Distractor,,,
738.1756,6,4,9,NULL,Task: 4,,,
740.3978,6,4,9,NULL,CardGame,,,,4
740.3978,6,4,9,NULL,Task: 7,,,
742.4756,6,4,9,NULL,CardGame,,,,7
742.4756,6,4,9,NULL,Task: 1,,,
744.7422,6,4,9,NULL,CardGame,,,,1
744.7422,6,4,9,NULL,Task: 7,,,
748.0867,6,4,9,NULL,CardGame,,,,7
748.0867,6,4,9,NULL,Task: 1,,,
749.9089,6,4,9,NULL,CardGame,,,,1
749.9089,6,4,9,NULL,Task: 7,,,
752.3311,6,4,9,NULL,CardGame,,,,7
752.3311,6,4,9,NULL,Task: 1,,,
753.12,6,4,9,NULL,SelectedCards,,,
757.2645,6,4,9,NULL,Card,,,1,
759.3978,6,4,9,NULL,Card,,,26,
766.52,6,4,9,NULL,Card,,,16,
771.1645,6,4,9,NULL,Card,,,34,
772.8422,6,4,9,NULL,Card,,,23,
776.7534,6,4,9,NULL,Result,,,
779.5422,7,5,9,Flat,Prepare,,,
781.8533,7,5,9,Flat,ShowPattern,,,
781.8644,7,5,9,Flat,Card,19,,,
781.8644,7,5,9,Flat,Card,29,,,
782.5311,7,5,9,Flat,Card,15,,,
782.7422,7,5,9,Flat,Card,1,,,
785.7978,7,5,9,Flat,Card,,1,,
788.6311,7,5,9,Flat,Card,,15,,
792.7422,7,5,9,Flat,Card,,29,,
795.7867,7,5,9,Flat,Card,,19,,
796.2311,7,5,9,Flat,Card,35,,,
797.5978,7,5,9,Flat,Card,,35,,
797.5978,7,5,9,Flat,Distractor,,,
800.1311,7,5,9,Flat,Task: 6,,,
803.2534,7,5,9,Flat,CardGame,,,,6
803.2534,7,5,9,Flat,Task: 1,,,
805.02,7,5,9,Flat,CardGame,,,,1
805.02,7,5,9,Flat,Task: 8,,,
806.5645,7,5,9,Flat,CardGame,,,,8
806.5645,7,5,9,Flat,Task: 2,,,
807.9089,7,5,9,Flat,CardGame,,,,2
807.9089,7,5,9,Flat,Task: 6,,,
810.3867,7,5,9,Flat,CardGame,,,,6
810.3867,7,5,9,Flat,Task: 6,,,
813.5645,7,5,9,Flat,CardGame,,,,6
813.5645,7,5,9,Flat,Task: 3,,,
815.0756,7,5,9,Flat,SelectedCards,,,
819.1534,7,5,9,Flat,Card,,,1,
828.7089,7,5,9,Flat,Card,,,15,
833.9756,7,5,9,Flat,Card,,,30,
838.4534,7,5,9,Flat,Card,,,11,
843.82,7,5,9,Flat,Card,,,21,
848.8422,7,5,9,Flat,Result,,,
850.2756,8,6,9,NULL,Prepare,,,
852.4867,8,6,9,NULL,ShowPattern,,,
852.4978,8,6,9,NULL,Card,28,,,
853.32,8,6,9,NULL,Card,26,,,
853.3867,8,6,9,NULL,Card,1,,,
855.22,8,6,9,NULL,Card,,1,,
856.4978,8,6,9,NULL,Card,,26,,
858.3867,8,6,9,NULL,Card,,28,,
860.2756,8,6,9,NULL,Card,21,,,
861.0645,8,6,9,NULL,Card,23,,,
861.6534,8,6,9,NULL,Card,,21,,
862.5978,8,6,9,NULL,Card,,23,,
867.4423,8,6,9,NULL,Distractor,,,
867.4423,8,6,9,NULL,Task: 7,,,
869.9089,8,6,9,NULL,CardGame,,,,7
869.9089,8,6,9,NULL,Task: 7,,,
871.9312,8,6,9,NULL,CardGame,,,,7
871.9312,8,6,9,NULL,Task: 4,,,
874.7867,8,6,9,NULL,CardGame,,,,4
874.7867,8,6,9,NULL,Task: 2,,,
876.72,8,6,9,NULL,CardGame,,,,2
876.72,8,6,9,NULL,Task: 3,,,
878.62,8,6,9,NULL,CardGame,,,,3
878.62,8,6,9,NULL,Task: 5,,,
880.5978,8,6,9,NULL,CardGame,,,,5
880.5978,8,6,9,NULL,Task: 2,,,
882.3978,8,6,9,NULL,SelectedCards,,,
894.3978,8,6,9,NULL,Card,,,28,
902.8755,8,6,9,NULL,Card,,,1,
907.5645,8,6,9,NULL,Card,,,26,
913.3978,8,6,9,NULL,Card,,,34,
914.62,8,6,9,NULL,Card,,,23,
919.2756,8,6,9,NULL,Result,,,
1515.92,9,7,9,Flat,Prepare,,,
1518.198,9,7,9,Flat,ShowPattern,,,
1518.22,9,7,9,Flat,Card,29,,,
1518.576,9,7,9,Flat,Card,25,,,
1518.598,9,7,9,Flat,Card,0,,,
1521.931,9,7,9,Flat,Card,,0,,
1523.009,9,7,9,Flat,Card,,25,,
1524.331,9,7,9,Flat,Card,20,,,
1524.453,9,7,9,Flat,Card,10,,,
1527.009,9,7,9,Flat,Card,,29,,
1530.687,9,7,9,Flat,Card,,20,,
1532.242,9,7,9,Flat,Card,,10,,
1533.164,9,7,9,Flat,Distractor,,,
1534.887,9,7,9,Flat,Task: 3,,,
1538.564,9,7,9,Flat,CardGame,,,,3
1538.564,9,7,9,Flat,Task: 6,,,
1540.187,9,7,9,Flat,CardGame,,,,6
1540.187,9,7,9,Flat,Task: 5,,,
1542.653,9,7,9,Flat,CardGame,,,,5
1542.653,9,7,9,Flat,Task: 6,,,
1544.62,9,7,9,Flat,CardGame,,,,6
1544.62,9,7,9,Flat,Task: 4,,,
1546.587,9,7,9,Flat,CardGame,,,,4
1546.587,9,7,9,Flat,Task: 2,,,
1548.42,9,7,9,Flat,CardGame,,,,2
1548.42,9,7,9,Flat,Task: 7,,,
1549.831,9,7,9,Flat,SelectedCards,,,
1567.087,9,7,9,Flat,Card,,,18,
1570.031,9,7,9,Flat,Card,,,10,
1584.253,9,7,9,Flat,Card,,,25,
1585.12,9,7,9,Flat,Card,,,12,
1612.876,9,7,9,Flat,Card,,,27,
1617.742,9,7,9,Flat,Result,,,
1619.253,10,8,9,NULL,Prepare,,,
1620.831,10,8,9,NULL,ShowPattern,,,
1620.853,10,8,9,NULL,Card,29,,,
1621.265,10,8,9,NULL,Card,14,,,
1621.709,10,8,9,NULL,Card,0,,,
1623.542,10,8,9,NULL,Card,,0,,
1624.853,10,8,9,NULL,Card,,14,,
1627.464,10,8,9,NULL,Card,,29,,
1629.409,10,8,9,NULL,Card,9,,,
1629.598,10,8,9,NULL,Card,34,,,
1631.242,10,8,9,NULL,Card,,9,,
1632.142,10,8,9,NULL,Card,,34,,
1635.798,10,8,9,NULL,Distractor,,,
1635.798,10,8,9,NULL,Task: 7,,,
1638.598,10,8,9,NULL,CardGame,,,,7
1638.598,10,8,9,NULL,Task: 4,,,
1642.498,10,8,9,NULL,CardGame,,,,4
1642.498,10,8,9,NULL,Task: 6,,,
1644.831,10,8,9,NULL,CardGame,,,,6
1644.831,10,8,9,NULL,Task: 7,,,
1646.52,10,8,9,NULL,CardGame,,,,7
1646.52,10,8,9,NULL,Task: 1,,,
1648.265,10,8,9,NULL,CardGame,,,,1
1648.265,10,8,9,NULL,Task: 2,,,
1650.309,10,8,9,NULL,CardGame,,,,2
1650.309,10,8,9,NULL,Task: 4,,,
1650.742,10,8,9,NULL,SelectedCards,,,
1654.409,10,8,9,NULL,Card,,,0,
1656.198,10,8,9,NULL,Card,,,14,
1667.62,10,8,9,NULL,Card,,,10,
1669.042,10,8,9,NULL,Card,,,35,
1686.187,10,8,9,NULL,Card,,,28,
1690.92,10,8,9,NULL,Result,,,
1692.22,11,9,9,Flat,Prepare,,,
1693.876,11,9,9,Flat,ShowPattern,,,
1693.898,11,9,9,Flat,Card,6,,,
1693.898,11,9,9,Flat,Card,29,,,
1694.542,11,9,9,Flat,Card,12,,,
1697.72,11,9,9,Flat,Card,,12,,
1699.12,11,9,9,Flat,Card,33,,,
1703.765,11,9,9,Flat,Card,,29,,
1705.664,11,9,9,Flat,Card,10,,,
1707.131,11,9,9,Flat,Card,,6,,
1708.92,11,9,9,Flat,Card,,33,,
1709.809,11,9,9,Flat,Card,,10,,
1709.809,11,9,9,Flat,Distractor,,,
1712.22,11,9,9,Flat,Task: 8,,,
1715.631,11,9,9,Flat,CardGame,,,,8
1715.631,11,9,9,Flat,Task: 6,,,
1717.287,11,9,9,Flat,CardGame,,,,6
1717.287,11,9,9,Flat,Task: 1,,,
1719.087,11,9,9,Flat,CardGame,,,,1
1719.087,11,9,9,Flat,Task: 1,,,
1721.376,11,9,9,Flat,CardGame,,,,1
1721.376,11,9,9,Flat,Task: 1,,,
1723.32,11,9,9,Flat,CardGame,,,,1
1723.32,11,9,9,Flat,Task: 3,,,
1725.142,11,9,9,Flat,CardGame,,,,3
1725.142,11,9,9,Flat,Task: 1,,,
1727.076,11,9,9,Flat,CardGame,,,,1
1727.076,11,9,9,Flat,Task: 4,,,
1727.62,11,9,9,Flat,SelectedCards,,,
1731.564,11,9,9,Flat,Card,,,12,
1739.509,11,9,9,Flat,Card,,,30,
1742.564,11,9,9,Flat,Card,,,33,
1743.876,11,9,9,Flat,Card,,,10,
1754.42,11,9,9,Flat,Card,,,28,
1759.576,11,9,9,Flat,Result,,,
1760.276,12,10,9,NULL,Prepare,,,
1761.353,12,10,9,NULL,ShowPattern,,,
1761.365,12,10,9,NULL,Card,4,,,
1761.365,12,10,9,NULL,Card,6,,,
1762.164,12,10,9,NULL,Card,13,,,
1763.731,12,10,9,NULL,Card,,13,,
1766.631,12,10,9,NULL,Card,,4,,
1769.198,12,10,9,NULL,Card,,6,,
1769.92,12,10,9,NULL,Card,21,,,
1770.687,12,10,9,NULL,Card,35,,,
1771.353,12,10,9,NULL,Card,,21,,
1773.064,12,10,9,NULL,Card,,35,,
1776.309,12,10,9,NULL,Distractor,,,
1776.309,12,10,9,NULL,Task: 3,,,
1778.909,12,10,9,NULL,CardGame,,,,3
1778.909,12,10,9,NULL,Task: 4,,,
1780.342,12,10,9,NULL,CardGame,,,,4
1780.342,12,10,9,NULL,Task: 7,,,
1781.865,12,10,9,NULL,CardGame,,,,7
1781.865,12,10,9,NULL,Task: 4,,,
1783.387,12,10,9,NULL,CardGame,,,,4
1783.387,12,10,9,NULL,Task: 4,,,
1786.564,12,10,9,NULL,CardGame,,,,4
1786.564,12,10,9,NULL,Task: 6,,,
1788.187,12,10,9,NULL,CardGame,,,,6
1788.187,12,10,9,NULL,Task: 2,,,
1789.553,12,10,9,NULL,CardGame,,,,2
1789.553,12,10,9,NULL,Task: 7,,,
1791.253,12,10,9,NULL,SelectedCards,,,
1793.92,12,10,9,NULL,Card,,,13,
1797.053,12,10,9,NULL,Card,,,4,
1816.353,12,10,9,NULL,Card,,,6,
1823.609,12,10,9,NULL,Card,,,9,
1827.253,12,10,9,NULL,Card,,,23,
1832.664,12,10,9,NULL,Result,,,
1833.82,13,11,9,Flat,Prepare,,,
1835.365,13,11,9,Flat,ShowPattern,,,
1835.376,13,11,9,Flat,Card,7,,,
1835.442,13,11,9,Flat,Card,4,,,
1835.976,13,11,9,Flat,Card,14,,,
1838.487,13,11,9,Flat,Card,,14,,
1841.276,13,11,9,Flat,Card,,4,,
1843.42,13,11,9,Flat,Card,21,,,
1845.231,13,11,9,Flat,Card,,7,,
1847.353,13,11,9,Flat,Card,35,,,
1848.798,13,11,9,Flat,Card,,21,,
1849.498,13,11,9,Flat,Card,,35,,
1850.32,13,11,9,Flat,Distractor,,,
1852.276,13,11,9,Flat,Task: 6,,,
1854.409,13,11,9,Flat,CardGame,,,,6
1854.409,13,11,9,Flat,Task: 7,,,
1855.72,13,11,9,Flat,CardGame,,,,7
1855.72,13,11,9,Flat,Task: 1,,,
1857.387,13,11,9,Flat,CardGame,,,,1
1857.387,13,11,9,Flat,Task: 7,,,
1859.82,13,11,9,Flat,CardGame,,,,7
1859.82,13,11,9,Flat,Task: 5,,,
1861.253,13,11,9,Flat,CardGame,,,,5
1861.253,13,11,9,Flat,Task: 6,,,
1862.842,13,11,9,Flat,CardGame,,,,6
1862.842,13,11,9,Flat,Task: 1,,,
1864.553,13,11,9,Flat,CardGame,,,,1
1864.553,13,11,9,Flat,Task: 1,,,
1866.342,13,11,9,Flat,CardGame,,,,1
1866.342,13,11,9,Flat,Task: 6,,,
1867.22,13,11,9,Flat,SelectedCards,,,
1889.22,13,11,9,Flat,Card,,,14,
1894.242,13,11,9,Flat,Card,,,4,
1900.52,13,11,9,Flat,Card,,,9,
1901.82,13,11,9,Flat,Card,,,23,
1919.453,13,11,9,Flat,Card,,,18,
1923.887,13,11,9,Flat,Result,,,
1925.398,14,12,9,NULL,Prepare,,,
1926.62,14,12,9,NULL,ShowPattern,,,
1926.631,14,12,9,NULL,Card,18,,,
1926.631,14,12,9,NULL,Card,28,,,
