Timestamp	TrialNo	Position.x	Position.y
416.9756	4.0000	0.1756	0.5974
416.9978	4.0000	0.1745	0.5999
417.0089	4.0000	0.1728	0.6055
417.0089	4.0000	0.1719	0.6083
417.0200	4.0000	0.1709	0.6112
417.0311	4.0000	0.1698	0.6140
417.0422	4.0000	0.1687	0.6159
417.0533	4.0000	0.1675	0.6170
417.0645	4.0000	0.1662	0.6178
417.0756	4.0000	0.1647	0.6174
417.0867	4.0000	0.1633	0.6174
417.0978	4.0000	0.1623	0.6167
417.1089	4.0000	0.1615	0.6160
417.1200	4.0000	0.1603	0.6154
417.1311	4.0000	0.1592	0.6146
417.1422	4.0000	0.1574	0.6137
417.1534	4.0000	0.1558	0.6122
417.1645	4.0000	0.1540	0.6107
417.1756	4.0000	0.1524	0.6088
417.1867	4.0000	0.1506	0.6067
417.1978	4.0000	0.1487	0.6040
417.2089	4.0000	0.1466	0.6017
417.2200	4.0000	0.1442	0.5997
417.2311	4.0000	0.1413	0.5986
417.2422	4.0000	0.1375	0.5983
417.2534	4.0000	0.1332	0.5986
417.2645	4.0000	0.1284	0.5982
417.2756	4.0000	0.1225	0.5964
417.2867	4.0000	0.1162	0.5925
417.2978	4.0000	0.1099	0.5879
417.3089	4.0000	0.1034	0.5822
417.3200	4.0000	0.0970	0.5761
417.3311	4.0000	0.0912	0.5700
417.3422	4.0000	0.0855	0.5652
417.3533	4.0000	0.0800	0.5600
417.3644	4.0000	0.0746	0.5540
417.3756	4.0000	0.0690	0.5481
417.3867	4.0000	0.0636	0.5415
417.3978	4.0000	0.0578	0.5350
417.4089	4.0000	0.0524	0.5278
417.4200	4.0000	0.0468	0.5203
417.4311	4.0000	0.0411	0.5128
417.4422	4.0000	0.0353	0.5047
417.4533	4.0000	0.0292	0.4962
417.4644	4.0000	0.0234	0.4877
417.4756	4.0000	0.0171	0.4783
417.7200	4.0000	-0.0901	0.3198
417.7311	4.0000	-0.0968	0.3025
417.7422	4.0000	-0.1087	0.2956
417.7534	4.0000	-0.1232	0.2938
417.7645	4.0000	-0.1411	0.2943
417.7756	4.0000	-0.1598	0.2947
417.7867	4.0000	-0.1802	0.2952
418.0422	4.0000	-0.4573	0.2003
418.1422	4.0000	-0.5581	0.1997
418.1534	4.0000	-0.5574	0.1950
418.1645	4.0000	-0.5638	0.1926
418.1645	4.0000	-0.5750	0.1916
418.1867	4.0000	-0.5871	0.1906
418.1978	4.0000	-0.5989	0.1895
418.2089	4.0000	-0.6109	0.1882
418.2200	4.0000	-0.6233	0.1868
418.2311	4.0000	-0.6375	0.1856
418.2422	4.0000	-0.6529	0.1843
418.2534	4.0000	-0.6710	0.1834
418.2645	4.0000	-0.6915	0.1828
418.2756	4.0000	-0.7131	0.1827
418.2867	4.0000	-0.7365	0.1828
418.2978	4.0000	-0.7602	0.1829
418.3089	4.0000	-0.7837	0.1828
418.3200	4.0000	-0.8070	0.1822
418.3311	4.0000	-0.8304	0.1812
418.3422	4.0000	-0.8538	0.1798
418.3533	4.0000	-0.8773	0.1780
418.3644	4.0000	-0.9016	0.1757
418.3756	4.0000	-0.9255	0.1731
418.3867	4.0000	-1.0390	0.1865
418.3978	4.0000	-1.0380	0.1789
418.4089	4.0000	-1.0371	0.1714
418.4200	4.0000	-1.0361	0.1643
418.4311	4.0000	-1.0488	0.1595
418.4422	4.0000	-1.0737	0.1560
418.4533	4.0000	-1.0993	0.1521
418.4644	4.0000	-1.1248	0.1476
418.4756	4.0000	-1.1515	0.1429
418.4867	4.0000	-1.1795	0.1370
418.4978	4.0000	-1.2075	0.1304
418.5089	4.0000	-1.2376	0.1235
418.5200	4.0000	-1.2678	0.1155
418.5311	4.0000	-1.2982	0.1080
418.5422	4.0000	-1.3277	0.1001
418.5533	4.0000	-1.3574	0.0932
418.5533	4.0000	-1.3854	0.0867
418.5756	4.0000	-1.4125	0.0804
418.5867	4.0000	-1.5182	0.0788
418.5978	4.0000	-1.5163	0.0716
418.5978	4.0000	-1.5143	0.0642
418.6200	4.0000	-1.5122	0.0574
418.6200	4.0000	-1.5312	0.0513
418.6311	4.0000	-1.5514	0.0446
418.6534	4.0000	-1.5697	0.0379
418.6534	4.0000	-1.5870	0.0309
418.6756	4.0000	-1.6033	0.0237
418.6867	4.0000	-1.6191	0.0159
418.6978	4.0000	-1.6349	0.0082
418.7089	4.0000	-1.6486	0.0008
418.7200	4.0000	-1.6625	-0.0066
418.7311	4.0000	-1.6750	-0.0135
418.7311	4.0000	-1.6876	-0.0202
418.7534	4.0000	-1.6998	-0.0265
418.7534	4.0000	-1.7120	-0.0317
418.7756	4.0000	-1.7252	-0.0368
418.7756	4.0000	-1.7360	-0.0410
418.7978	4.0000	-1.7481	-0.0457
418.8089	4.0000	-1.7593	-0.0500
418.8089	4.0000	-1.7709	-0.0537
418.8311	4.0000	-1.7809	-0.0564
418.8422	4.0000	-1.7919	-0.0582
418.8533	4.0000	-1.8009	-0.0589
418.8533	4.0000	-1.8099	-0.0590
418.8644	4.0000	-1.8186	-0.0588
418.8867	4.0000	-1.9174	-0.0616
418.8867	4.0000	-1.9114	-0.0605
418.8978	4.0000	-1.9049	-0.0584
418.9089	4.0000	-1.8984	-0.0554
418.9200	4.0000	-1.8917	-0.0515
418.9311	4.0000	-1.8848	-0.0468
418.9422	4.0000	-1.8777	-0.0417
418.9533	4.0000	-1.8705	-0.0359
418.9644	4.0000	-1.8630	-0.0290
418.9867	4.0000	-1.8554	-0.0213
418.9867	4.0000	-1.8497	-0.0128
419.0089	4.0000	-1.8458	-0.0028
419.0089	4.0000	-1.8410	0.0071
419.0200	4.0000	-1.8365	0.0171
419.0422	4.0000	-1.8326	0.0266
419.0533	4.0000	-1.8285	0.0352
419.0533	4.0000	-1.8255	0.0434
419.0645	4.0000	-1.8232	0.0519
419.0756	4.0000	-1.8209	0.0619
419.0978	4.0000	-1.8210	0.0715
419.1089	4.0000	-1.8213	0.0803
419.1089	4.0000	-1.8197	0.0861
419.1200	4.0000	-1.8176	0.0900
419.1311	4.0000	-1.8164	0.0922
419.1422	4.0000	-1.8137	0.0944
419.1534	4.0000	-1.8139	0.0963
419.1645	4.0000	-1.8147	0.0988
419.1867	4.0000	-1.8147	0.1000
419.1978	4.0000	-1.8138	0.1024
419.1978	4.0000	-1.8125	0.1049
419.2200	4.0000	-1.8132	0.1101
419.2200	4.0000	-1.8154	0.1172
419.2311	4.0000	-1.8198	0.1270
419.2422	4.0000	-1.8231	0.1346
419.2534	4.0000	-1.8272	0.1428
419.2645	4.0000	-1.8323	0.1486
419.2756	4.0000	-1.8336	0.1507
419.2867	4.0000	-1.8343	0.1483
419.2978	4.0000	-1.8339	0.1434
419.3200	4.0000	-1.8323	0.1344
419.3200	4.0000	-1.8308	0.1273
419.3422	4.0000	-1.8298	0.1198
419.3533	4.0000	-1.8288	0.1144
419.3533	4.0000	-1.8268	0.1087
419.3644	4.0000	-1.8240	0.1036
419.3756	4.0000	-1.8201	0.0975
419.3867	4.0000	-1.8143	0.0909
419.3978	4.0000	-1.8073	0.0837
419.4089	4.0000	-1.7995	0.0771
419.4200	4.0000	-1.7906	0.0712
419.4311	4.0000	-1.7809	0.0664
419.4422	4.0000	-1.7713	0.0613
419.4533	4.0000	-1.7606	0.0569
419.4644	4.0000	-1.7495	0.0523
419.4756	4.0000	-1.7379	0.0484
419.4867	4.0000	-1.7253	0.0450
419.4978	4.0000	-1.7129	0.0412
419.5089	4.0000	-1.6987	0.0387
