TimeSinceStart,UserHeight,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z,MainPadPressed,MainTriggerPressed
0.3533334,1,1,Training,0,0,Flat,5,prepare,-0.06092403,0.6354418,-0.03949816,326.0894,0.4476341,353.5885,0,0,0,0,0,0,False,False
0.4422222,1,1,Training,0,0,Flat,5,prepare,-0.06107199,0.63529,-0.03966866,326.0621,0.4692751,353.5841,-2.000765,0.8577492,-3.71577,348.2339,335.0939,351.8022,False,False
0.4644445,1,1,Training,0,0,Flat,5,prepare,-0.06118431,0.6353033,-0.03974347,326.0673,0.4539723,353.5853,-2.000991,0.8576685,-3.715903,348.2401,335.0597,351.9297,False,False
0.4644445,1,1,Training,0,0,Flat,5,prepare,-0.06121078,0.6353611,-0.03964686,326.0635,0.4386769,353.5929,-2.001204,0.8578477,-3.715743,348.2503,335.0582,351.9847,False,False
0.4755556,1,1,Training,0,0,Flat,5,prepare,-0.06122974,0.6353576,-0.03963863,326.0587,0.451353,353.5888,-2.001204,0.8578477,-3.715743,348.2503,335.0582,351.9847,False,False
0.4866667,1,1,Training,0,0,Flat,5,prepare,-0.06124762,0.6353829,-0.03963872,326.0717,0.4556576,353.5889,-2.001265,0.8578113,-3.71578,348.2509,335.0591,351.9977,False,False
0.4866667,1,1,Training,0,0,Flat,5,prepare,-0.0609221,0.6354094,-0.03972814,326.0685,0.4531195,353.5796,-2.001302,0.8577183,-3.715913,348.2555,335.0532,351.9856,False,False
0.52,1,1,Training,0,0,Flat,5,prepare,-0.06092176,0.635424,-0.03973984,326.0655,0.4680326,353.5785,-2.001252,0.8577818,-3.716107,348.2601,335.0859,351.9431,False,False
0.5311111,1,1,Training,0,0,Flat,5,prepare,-0.0609863,0.6352524,-0.03978943,326.0679,0.4621832,353.574,-2.001355,0.8578178,-3.716134,348.2602,335.0704,352.0195,False,False
0.5422223,1,1,Training,0,0,Flat,5,prepare,-0.06092776,0.6353478,-0.03968581,326.0692,0.4538935,353.5772,-2.001357,0.8577496,-3.716094,348.2814,335.0554,352.1028,False,False
0.5533333,1,1,Training,0,0,Flat,5,prepare,-0.0609538,0.6352807,-0.03969426,326.0634,0.447607,353.5906,-2.001357,0.8577496,-3.716094,348.2814,335.0554,352.1028,False,False
0.5533333,1,1,Training,0,0,Flat,5,prepare,-0.06088598,0.6353152,-0.03974532,326.0644,0.4492778,353.5768,-2.0014,0.8576356,-3.716227,348.2789,335.0519,352.1432,False,False
0.5644445,1,1,Training,0,0,Flat,5,prepare,-0.06090804,0.6352904,-0.03979952,326.0717,0.4684979,353.5706,-2.001484,0.8576069,-3.716371,348.2735,335.0285,352.2031,False,False
0.5755556,1,1,Training,0,0,Flat,5,prepare,-0.06098033,0.6352794,-0.03968642,326.074,0.4401599,353.5948,-2.001647,0.8576267,-3.716642,348.2932,335.0013,352.3661,False,False
0.5866667,1,1,Training,0,0,Flat,5,prepare,-0.06097495,0.6352984,-0.03964826,326.0658,0.4439871,353.5872,-2.001965,0.8576279,-3.716584,348.3047,334.9841,352.3865,False,False
0.5977778,1,1,Training,0,0,Flat,5,prepare,-0.06109466,0.6352825,-0.0397213,326.064,0.4495439,353.5773,-2.001813,0.857882,-3.716245,348.3019,335.0212,352.2874,False,False
0.6088889,1,1,Training,0,0,Flat,5,prepare,-0.06109035,0.6352984,-0.03974772,326.0759,0.4494445,353.5902,-2.001745,0.8578305,-3.716276,348.3014,335.0375,352.2157,False,False
0.62,1,1,Training,0,0,Flat,5,prepare,-0.06102494,0.6352367,-0.0397344,326.0705,0.4523555,353.5768,-2.001822,0.858179,-3.716344,348.3322,335.0456,352.0853,False,False
0.6311111,1,1,Training,0,0,Flat,5,prepare,-0.06099946,0.6351699,-0.03975968,326.0681,0.4547228,353.5788,-2.001949,0.8583708,-3.716448,348.2982,335.0322,352.1403,True,False
0.6422222,1,1,Training,0,0,Flat,5,prepare,-0.06094714,0.6352205,-0.03977408,326.0671,0.4553167,353.5714,-2.002038,0.858726,-3.716619,348.2954,335.0005,352.2011,True,False
0.6533334,1,1,Training,0,0,Flat,5,prepare,-0.06095611,0.6352272,-0.03982117,326.0753,0.4560106,353.5796,-2.002096,0.8586283,-3.716475,348.2857,334.9936,352.2095,True,False
0.6644444,1,1,Training,0,0,Flat,5,prepare,-0.06104409,0.6351531,-0.03974041,326.0733,0.4549069,353.5758,-2.001969,0.8586905,-3.716436,348.2874,334.9859,352.2501,True,False
0.6755556,1,1,Training,0,0,Flat,5,prepare,-0.06114877,0.6352013,-0.03979211,326.0688,0.4462342,353.5828,-2.001966,0.8588562,-3.716398,348.2864,334.9892,352.2305,True,False
