ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
10,3,1,Full Circle,5,3,1.243964,3.620593,5.77284,8.529693,10.67298,2.932379,4.938071,7.015406,10.11803,11.85049
10,4,2,Flat,5,1,0.0125196,3.708505,6.741866,11.58084,15.1158,2.932169,5.795051,8.651925,13.13584,15.98199
10,5,3,Full Circle,5,1,1.310932,1.533046,8.541771,8.725308,13.77233,4.320683,5.431193,10.45154,11.46188,14.84938
10,6,4,Flat,5,5,0.0181017,5.17885,6.056181,13.46396,15.0077,2.81319,6.700286,8.943639,14.41923,15.87407
10,7,5,Full Circle,5,2,0.9331908,2.821402,5.364376,7.563327,10.9953,2.497693,4.864599,6.930338,9.184914,12.6945
10,8,6,Flat,5,2,0.3002942,3.032307,5.685337,11.27317,14.71609,2.143959,4.373682,7.019395,12.73897,15.71548
10,9,7,Full Circle,5,2,0.4001186,3.654274,6.708497,9.04071,10.57336,2.621297,4.898074,7.885772,10.16243,11.36199
10,10,8,Flat,5,2,0.7455161,4.621428,5.38764,11.88483,14.22824,2.167076,6.631668,8.086568,13.28306,15.27246
10,11,9,Full Circle,5,1,1.588167,4.742273,7.836184,10.57307,11.97257,3.631971,6.330571,9.140419,11.79452,13.12535
10,12,10,Flat,5,5,0.0121955,1.133094,6.950101,11.82839,12.37168,3.098995,3.876286,8.029841,13.09455,13.98326
10,13,11,Full Circle,5,2,1.311034,4.798232,7.119184,9.29674,12.99279,3.776549,6.086264,8.607808,11.89393,14.59234
10,14,12,Flat,5,1,1.410372,2.754354,9.573732,13.06078,14.31592,5.453072,7.907831,12.2834,15.32645,16.02644
10,15,13,Full Circle,5,4,0.0129763,3.521103,7.23062,7.552822,11.02881,2.943613,6.142713,8.627595,9.471342,12.11759
10,16,14,Flat,5,4,0.7005417,4.154124,7.44136,12.47253,12.91704,3.054466,6.10866,8.452083,13.86088,15.03817
10,17,15,Full Circle,5,4,0.5888862,1.044445,5.442251,10.16276,11.72849,2.532382,4.253905,7.341367,11.46245,13.09446
10,18,16,Flat,5,5,0.0124377,2.754375,7.630072,12.16115,14.4935,2.110198,5.142144,8.663261,13.79384,15.87118
10,19,17,Full Circle,5,5,2.321293,2.521173,6.697216,9.063017,11.28393,4.531669,5.741976,8.240921,10.5623,12.58341
10,20,18,Flat,5,3,0.0118428,3.27653,5.797799,10.30285,12.06163,2.210843,4.264985,7.097051,11.87333,13.39423
