TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered,CardPlayed
130.8422,1,Training,12,Full Circle,Prepare,,,
137.0422,1,Training,12,Full Circle,ShowPattern,,,
137.0645,1,Training,12,Full Circle,Card,15,,,
137.8311,1,Training,12,Full Circle,Card,25,,,
138.4089,1,Training,12,Full Circle,Card,35,,,
139.0645,1,Training,12,Full Circle,Card,10,,,
141.8311,1,Training,12,Full Circle,Card,,15,,
142.2867,1,Training,12,Full Circle,Card,6,,,
143.5756,1,Training,12,Full Circle,Card,,6,,
145.4533,1,Training,12,Full Circle,Card,,10,,
146.5533,1,Training,12,Full Circle,Card,,35,,
147.7756,1,Training,12,Full Circle,Card,,25,,
151.9978,1,Training,12,Full Circle,Distractor,,,
151.9978,1,Training,12,Full Circle,Task: 1,,,
154.1756,1,Training,12,Full Circle,CardGame,,,,1
154.1756,1,Training,12,Full Circle,Task: 6,,,
155.5867,1,Training,12,Full Circle,CardGame,,,,6
155.5867,1,Training,12,Full Circle,Task: 2,,,
157.3311,1,Training,12,Full Circle,CardGame,,,,2
157.3311,1,Training,12,Full Circle,Task: 7,,,
159.0533,1,Training,12,Full Circle,CardGame,,,,7
159.0533,1,Training,12,Full Circle,Task: 6,,,
161.22,1,Training,12,Full Circle,CardGame,,,,6
161.22,1,Training,12,Full Circle,Task: 8,,,
162.42,1,Training,12,Full Circle,CardGame,,,,8
162.42,1,Training,12,Full Circle,Task: 2,,,
164.2089,1,Training,12,Full Circle,CardGame,,,,2
164.2089,1,Training,12,Full Circle,Task: 1,,,
165.9533,1,Training,12,Full Circle,CardGame,,,,1
165.9533,1,Training,12,Full Circle,Task: 3,,,
166.9533,1,Training,12,Full Circle,SelectedCards,,,
171.4311,1,Training,12,Full Circle,Card,,,24,
172.9311,1,Training,12,Full Circle,Card,,,26,
175.4533,1,Training,12,Full Circle,Card,,,6,
188.12,1,Training,12,Full Circle,Card,,,3,
194.1978,1,Training,12,Full Circle,Card,,,22,
198.2645,1,Training,12,Full Circle,Result,,,
217.2756,2,Training,12,Flat,Prepare,,,
219.7533,2,Training,12,Flat,ShowPattern,,,
220.9422,2,Training,12,Flat,Card,30,,,
221.9978,2,Training,12,Flat,Card,,30,,
224.3645,2,Training,12,Flat,Card,20,,,
225.7867,2,Training,12,Flat,Card,,20,,
228.6978,2,Training,12,Flat,Card,11,,,
229.8422,2,Training,12,Flat,Card,,11,,
234.62,2,Training,12,Flat,Card,2,,,
235.12,2,Training,12,Flat,Card,25,,,
235.5311,2,Training,12,Flat,Card,,2,,
236.5422,2,Training,12,Flat,Card,,25,,
236.5422,2,Training,12,Flat,Distractor,,,
239.8867,2,Training,12,Flat,Task: 7,,,
242.7422,2,Training,12,Flat,CardGame,,,,7
242.7422,2,Training,12,Flat,Task: 4,,,
244.22,2,Training,12,Flat,CardGame,,,,4
244.22,2,Training,12,Flat,Task: 2,,,
246.12,2,Training,12,Flat,CardGame,,,,2
246.12,2,Training,12,Flat,Task: 6,,,
247.0645,2,Training,12,Flat,CardGame,,,,6
247.0645,2,Training,12,Flat,Task: 7,,,
248.1644,2,Training,12,Flat,CardGame,,,,7
248.1644,2,Training,12,Flat,Task: 2,,,
249.3089,2,Training,12,Flat,CardGame,,,,2
249.3089,2,Training,12,Flat,Task: 5,,,
250.0533,2,Training,12,Flat,CardGame,,,,5
250.0533,2,Training,12,Flat,Task: 2,,,
251.4978,2,Training,12,Flat,CardGame,,,,2
251.4978,2,Training,12,Flat,Task: 5,,,
253.1756,2,Training,12,Flat,CardGame,,,,5
253.1756,2,Training,12,Flat,Task: 1,,,
254.5089,2,Training,12,Flat,CardGame,,,,1
254.5089,2,Training,12,Flat,Task: 8,,,
254.8311,2,Training,12,Flat,SelectedCards,,,
257.02,2,Training,12,Flat,Card,,,30,
259.0533,2,Training,12,Flat,Card,,,20,
260.8978,2,Training,12,Flat,Card,,,11,
267.2089,2,Training,12,Flat,Card,,,26,
269.5867,2,Training,12,Flat,Card,,,25,
273.72,2,Training,12,Flat,Result,,,
303.9311,3,1,12,Full Circle,Prepare,,,
307.0756,3,1,12,Full Circle,ShowPattern,,,
307.7311,3,1,12,Full Circle,Card,16,,,
308.4644,3,1,12,Full Circle,Card,,16,,
309.0089,3,1,12,Full Circle,Card,6,,,
310.0089,3,1,12,Full Circle,Card,,6,,
310.4867,3,1,12,Full Circle,Card,20,,,
311.4756,3,1,12,Full Circle,Card,,20,,
312.0311,3,1,12,Full Circle,Card,34,,,
313.6422,3,1,12,Full Circle,Card,,34,,
313.8089,3,1,12,Full Circle,Card,0,,,
315.6311,3,1,12,Full Circle,Card,,0,,
322.0311,3,1,12,Full Circle,Distractor,,,
322.0311,3,1,12,Full Circle,Task: 4,,,
324.42,3,1,12,Full Circle,CardGame,,,,4
324.42,3,1,12,Full Circle,Task: 1,,,
326.2645,3,1,12,Full Circle,CardGame,,,,1
326.2645,3,1,12,Full Circle,Task: 7,,,
327.6311,3,1,12,Full Circle,CardGame,,,,7
327.6311,3,1,12,Full Circle,Task: 7,,,
328.9089,3,1,12,Full Circle,CardGame,,,,7
328.9089,3,1,12,Full Circle,Task: 4,,,
331.6645,3,1,12,Full Circle,CardGame,,,,4
331.6645,3,1,12,Full Circle,Task: 8,,,
333.5311,3,1,12,Full Circle,CardGame,,,,8
333.5311,3,1,12,Full Circle,Task: 8,,,
335.02,3,1,12,Full Circle,CardGame,,,,8
335.02,3,1,12,Full Circle,Task: 2,,,
336.9867,3,1,12,Full Circle,SelectedCards,,,
349.2422,3,1,12,Full Circle,Card,,,7,
351.5867,3,1,12,Full Circle,Card,,,33,
358.2534,3,1,12,Full Circle,Card,,,21,
359.5978,3,1,12,Full Circle,Card,,,35,
371.8867,3,1,12,Full Circle,Card,,,0,
377.4756,3,1,12,Full Circle,Result,,,
381.0756,4,2,12,Flat,Prepare,,,
382.4311,4,2,12,Flat,ShowPattern,,,
382.4422,4,2,12,Flat,Card,7,,,
382.4422,4,2,12,Flat,Card,17,,,
384.52,4,2,12,Flat,Card,,17,,
386.5978,4,2,12,Flat,Card,,7,,
389.7978,4,2,12,Flat,Card,11,,,
390.7422,4,2,12,Flat,Card,,11,,
394.1311,4,2,12,Flat,Card,27,,,
395.3533,4,2,12,Flat,Card,,27,,
395.8867,4,2,12,Flat,Card,25,,,
396.8533,4,2,12,Flat,Card,,25,,
397.3867,4,2,12,Flat,Distractor,,,
400.1645,4,2,12,Flat,Task: 3,,,
402.32,4,2,12,Flat,CardGame,,,,3
402.32,4,2,12,Flat,Task: 7,,,
404.1422,4,2,12,Flat,CardGame,,,,7
404.1422,4,2,12,Flat,Task: 6,,,
405.2756,4,2,12,Flat,CardGame,,,,6
405.2756,4,2,12,Flat,Task: 5,,,
406.4644,4,2,12,Flat,CardGame,,,,5
406.4644,4,2,12,Flat,Task: 5,,,
408.42,4,2,12,Flat,CardGame,,,,5
408.42,4,2,12,Flat,Task: 3,,,
409.3756,4,2,12,Flat,CardGame,,,,3
409.3756,4,2,12,Flat,Task: 3,,,
411.1422,4,2,12,Flat,CardGame,,,,3
411.1422,4,2,12,Flat,Task: 8,,,
412.8533,4,2,12,Flat,CardGame,,,,8
412.8533,4,2,12,Flat,Task: 3,,,
414.9311,4,2,12,Flat,CardGame,,,,3
414.9311,4,2,12,Flat,Task: 7,,,
415.1089,4,2,12,Flat,SelectedCards,,,
417.8422,4,2,12,Flat,Card,,,17,
422.0422,4,2,12,Flat,Card,,,11,
430.4089,4,2,12,Flat,Card,,,27,
432.2422,4,2,12,Flat,Card,,,25,
440.62,4,2,12,Flat,Card,,,32,
442.7978,4,2,12,Flat,Result,,,
447.3533,5,3,12,Full Circle,Prepare,,,
454.1422,5,3,12,Full Circle,ShowPattern,,,
454.9867,5,3,12,Full Circle,Card,16,,,
455.2867,5,3,12,Full Circle,Card,26,,,
456.8867,5,3,12,Full Circle,Card,,26,,
458.5867,5,3,12,Full Circle,Card,,16,,
460.62,5,3,12,Full Circle,Card,34,,,
461.0311,5,3,12,Full Circle,Card,11,,,
462.0422,5,3,12,Full Circle,Card,,34,,
463.6645,5,3,12,Full Circle,Card,,11,,
465.0422,5,3,12,Full Circle,Card,1,,,
466.92,5,3,12,Full Circle,Card,,1,,
469.1089,5,3,12,Full Circle,Distractor,,,
469.1089,5,3,12,Full Circle,Task: 6,,,
471.3867,5,3,12,Full Circle,CardGame,,,,6
471.3867,5,3,12,Full Circle,Task: 7,,,
472.82,5,3,12,Full Circle,CardGame,,,,7
472.82,5,3,12,Full Circle,Task: 2,,,
474.82,5,3,12,Full Circle,CardGame,,,,2
474.82,5,3,12,Full Circle,Task: 6,,,
476.8756,5,3,12,Full Circle,CardGame,,,,6
476.8756,5,3,12,Full Circle,Task: 5,,,
478.1534,5,3,12,Full Circle,CardGame,,,,5
478.1534,5,3,12,Full Circle,Task: 5,,,
479.6311,5,3,12,Full Circle,CardGame,,,,5
479.6311,5,3,12,Full Circle,Task: 4,,,
480.8533,5,3,12,Full Circle,CardGame,,,,4
480.8533,5,3,12,Full Circle,Task: 3,,,
483.4867,5,3,12,Full Circle,CardGame,,,,3
483.4867,5,3,12,Full Circle,Task: 2,,,
484.0533,5,3,12,Full Circle,SelectedCards,,,
491.3311,5,3,12,Full Circle,Card,,,27,
496.62,5,3,12,Full Circle,Card,,,1,
497.8089,5,3,12,Full Circle,Card,,,11,
501.32,5,3,12,Full Circle,Card,,,33,
510.7089,5,3,12,Full Circle,Card,,,18,
515.7756,5,3,12,Full Circle,Result,,,
519.3644,6,4,12,Flat,Prepare,,,
522.32,6,4,12,Flat,ShowPattern,,,
522.3422,6,4,12,Flat,Card,6,,,
524.7534,6,4,12,Flat,Card,,6,,
527.3978,6,4,12,Flat,Card,21,,,
528.5978,6,4,12,Flat,Card,,21,,
529.6533,6,4,12,Flat,Card,35,,,
530.7089,6,4,12,Flat,Card,,35,,
536.5089,6,4,12,Flat,Card,26,,,
537.1311,6,4,12,Flat,Card,1,,,
537.1756,6,4,12,Flat,Card,,26,,
538.0089,6,4,12,Flat,Card,,1,,
538.0089,6,4,12,Flat,Distractor,,,
541.3978,6,4,12,Flat,Task: 3,,,
542.72,6,4,12,Flat,CardGame,,,,3
542.72,6,4,12,Flat,Task: 4,,,
544.2311,6,4,12,Flat,CardGame,,,,4
544.2311,6,4,12,Flat,Task: 1,,,
545.7534,6,4,12,Flat,CardGame,,,,1
545.7534,6,4,12,Flat,Task: 6,,,
547.8978,6,4,12,Flat,CardGame,,,,6
547.8978,6,4,12,Flat,Task: 5,,,
549.4867,6,4,12,Flat,CardGame,,,,5
549.4867,6,4,12,Flat,Task: 8,,,
551.0422,6,4,12,Flat,CardGame,,,,8
551.0422,6,4,12,Flat,Task: 2,,,
553.12,6,4,12,Flat,CardGame,,,,2
553.12,6,4,12,Flat,Task: 3,,,
555.2756,6,4,12,Flat,CardGame,,,,3
555.2756,6,4,12,Flat,Task: 3,,,
556.3422,6,4,12,Flat,SelectedCards,,,
560.7422,6,4,12,Flat,Card,,,35,
570.1311,6,4,12,Flat,Card,,,1,
574.1089,6,4,12,Flat,Card,,,26,
590.02,6,4,12,Flat,Card,,,5,
603.9645,6,4,12,Flat,Card,,,20,
605.4867,6,4,12,Flat,Result,,,
607.7422,7,5,12,Full Circle,Prepare,,,
609.1978,7,5,12,Full Circle,ShowPattern,,,
609.82,7,5,12,Full Circle,Card,26,,,
610.3311,7,5,12,Full Circle,Card,1,,,
611.3867,7,5,12,Full Circle,Card,,26,,
612.5756,7,5,12,Full Circle,Card,,1,,
613.0867,7,5,12,Full Circle,Card,23,,,
615.1089,7,5,12,Full Circle,Card,,23,,
615.1978,7,5,12,Full Circle,Card,21,,,
616.3867,7,5,12,Full Circle,Card,,21,,
617.7645,7,5,12,Full Circle,Card,28,,,
619.7978,7,5,12,Full Circle,Card,,28,,
624.1533,7,5,12,Full Circle,Distractor,,,
624.1533,7,5,12,Full Circle,Task: 8,,,
628.0978,7,5,12,Full Circle,CardGame,,,,8
628.0978,7,5,12,Full Circle,Task: 5,,,
629.7756,7,5,12,Full Circle,CardGame,,,,5
629.7756,7,5,12,Full Circle,Task: 4,,,
631.4756,7,5,12,Full Circle,CardGame,,,,4
631.4756,7,5,12,Full Circle,Task: 4,,,
633.0867,7,5,12,Full Circle,CardGame,,,,4
633.0867,7,5,12,Full Circle,Task: 8,,,
634.7645,7,5,12,Full Circle,CardGame,,,,8
634.7645,7,5,12,Full Circle,Task: 1,,,
635.8867,7,5,12,Full Circle,CardGame,,,,1
635.8867,7,5,12,Full Circle,Task: 6,,,
637.3422,7,5,12,Full Circle,CardGame,,,,6
637.3422,7,5,12,Full Circle,Task: 8,,,
639.1089,7,5,12,Full Circle,SelectedCards,,,
643.7311,7,5,12,Full Circle,Card,,,21,
650.0311,7,5,12,Full Circle,Card,,,26,
671.6311,7,5,12,Full Circle,Card,,,16,
679.0422,7,5,12,Full Circle,Card,,,24,
689.7645,7,5,12,Full Circle,Card,,,1,
692.12,7,5,12,Full Circle,Result,,,
694.8644,8,6,12,Flat,Prepare,,,
697.3533,8,6,12,Flat,ShowPattern,,,
697.8311,8,6,12,Flat,Card,29,,,
699.6533,8,6,12,Flat,Card,,29,,
700.2978,8,6,12,Flat,Card,19,,,
701.7089,8,6,12,Flat,Card,,19,,
703.9867,8,6,12,Flat,Card,35,,,
704.8755,8,6,12,Flat,Card,,35,,
708.62,8,6,12,Flat,Card,15,,,
709.5533,8,6,12,Flat,Card,,15,,
710.7867,8,6,12,Flat,Card,1,,,
711.6867,8,6,12,Flat,Card,,1,,
712.3089,8,6,12,Flat,Distractor,,,
714.6645,8,6,12,Flat,Task: 4,,,
715.9423,8,6,12,Flat,CardGame,,,,4
715.9423,8,6,12,Flat,Task: 6,,,
717.8422,8,6,12,Flat,CardGame,,,,6
717.8422,8,6,12,Flat,Task: 5,,,
719.1867,8,6,12,Flat,CardGame,,,,5
719.1867,8,6,12,Flat,Task: 5,,,
720.9645,8,6,12,Flat,CardGame,,,,5
720.9645,8,6,12,Flat,Task: 4,,,
722.7422,8,6,12,Flat,CardGame,,,,4
722.7422,8,6,12,Flat,Task: 8,,,
724.7089,8,6,12,Flat,CardGame,,,,8
724.7089,8,6,12,Flat,Task: 3,,,
726.8755,8,6,12,Flat,CardGame,,,,3
726.8755,8,6,12,Flat,Task: 3,,,
728.2422,8,6,12,Flat,CardGame,,,,3
728.2422,8,6,12,Flat,Task: 3,,,
729.6089,8,6,12,Flat,SelectedCards,,,
732.52,8,6,12,Flat,Card,,,29,
738.72,8,6,12,Flat,Card,,,19,
741.6756,8,6,12,Flat,Card,,,35,
747.7645,8,6,12,Flat,Card,,,15,
758.4978,8,6,12,Flat,Card,,,13,
763.0311,8,6,12,Flat,Result,,,
1079.631,9,7,12,Full Circle,Prepare,,,
1082.776,9,7,12,Full Circle,ShowPattern,,,
1083.231,9,7,12,Full Circle,Card,14,,,
1084.642,9,7,12,Full Circle,Card,,14,,
1085.687,9,7,12,Full Circle,Card,29,,,
1087.376,9,7,12,Full Circle,Card,,29,,
1089.587,9,7,12,Full Circle,Card,9,,,
1090.853,9,7,12,Full Circle,Card,,9,,
1091.953,9,7,12,Full Circle,Card,0,,,
1092.153,9,7,12,Full Circle,Card,34,,,
1093.453,9,7,12,Full Circle,Card,,34,,
1095.798,9,7,12,Full Circle,Card,,0,,
1097.742,9,7,12,Full Circle,Distractor,,,
1097.742,9,7,12,Full Circle,Task: 8,,,
1100.242,9,7,12,Full Circle,CardGame,,,,8
1100.242,9,7,12,Full Circle,Task: 5,,,
1102.22,9,7,12,Full Circle,CardGame,,,,5
1102.22,9,7,12,Full Circle,Task: 2,,,
1104.709,9,7,12,Full Circle,CardGame,,,,2
1104.709,9,7,12,Full Circle,Task: 6,,,
1106.009,9,7,12,Full Circle,CardGame,,,,6
1106.009,9,7,12,Full Circle,Task: 4,,,
1107.876,9,7,12,Full Circle,CardGame,,,,4
1107.876,9,7,12,Full Circle,Task: 3,,,
1110.031,9,7,12,Full Circle,CardGame,,,,3
1110.031,9,7,12,Full Circle,Task: 7,,,
1111.72,9,7,12,Full Circle,CardGame,,,,7
1111.72,9,7,12,Full Circle,Task: 8,,,
1112.687,9,7,12,Full Circle,SelectedCards,,,
1115.831,9,7,12,Full Circle,Card,,,9,
1117.442,9,7,12,Full Circle,Card,,,34,
