Timestamp	TrialNo	Position.x	Position.y
356.2867	3.0000	0.2336	0.0418
356.2978	3.0000	0.2305	0.0483
356.3089	3.0000	0.2273	0.0565
356.3200	3.0000	0.2240	0.0655
356.3311	3.0000	0.2208	0.0749
356.3422	3.0000	0.2172	0.0852
356.3533	3.0000	0.2135	0.0956
356.3644	3.0000	0.2093	0.1066
356.3755	3.0000	0.2053	0.1177
356.3867	3.0000	0.2010	0.1301
356.3978	3.0000	0.1965	0.1428
356.4089	3.0000	0.1918	0.1561
356.4200	3.0000	0.1866	0.1699
356.4311	3.0000	0.1813	0.1846
356.4422	3.0000	0.1756	0.2005
356.4978	3.0000	0.1545	0.3118
356.5089	3.0000	0.1388	0.3106
356.5200	3.0000	0.1315	0.3263
356.5311	3.0000	0.1244	0.3424
356.5422	3.0000	0.1169	0.3556
356.5533	3.0000	0.1093	0.3660
356.5645	3.0000	0.1023	0.3731
356.5756	3.0000	0.0958	0.3788
356.5867	3.0000	0.0957	0.4056
356.7978	3.0000	0.0152	0.3674
356.8089	3.0000	0.0142	0.3587
356.8200	3.0000	0.0134	0.3497
356.8311	3.0000	0.0125	0.3396
356.8422	3.0000	0.0112	0.3296
356.8533	3.0000	0.0099	0.3184
356.8644	3.0000	0.0087	0.3114
356.8755	3.0000	0.0077	0.3125
356.8978	3.0000	0.0068	0.3135
356.9422	3.0000	-0.0014	0.2042
356.9533	3.0000	-0.0030	0.1888
356.9644	3.0000	-0.0048	0.1743
356.9756	3.0000	-0.0066	0.1598
356.9867	3.0000	-0.0085	0.1453
356.9978	3.0000	-0.0102	0.1307
357.0089	3.0000	-0.0118	0.1167
357.0200	3.0000	-0.0134	0.1035
357.0311	3.0000	-0.0150	0.0911
357.0422	3.0000	-0.0169	0.0787
357.0533	3.0000	-0.0185	0.0673
357.0645	3.0000	-0.0202	0.0559
357.0756	3.0000	-0.0218	0.0446
357.0867	3.0000	-0.0228	0.0335
357.0978	3.0000	-0.0238	0.0227
