TimeSinceStart,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z
27.43111,1,Training,1,1,Flat,5,prepare,-0.106623,1.739916,0.09127267,342.8616,346.153,6.723707,0.1364915,1.52722,0.3535209,286.7107,43.42676,341.9196
27.44222,1,Training,1,1,Flat,5,prepare,-0.1034653,1.740716,0.09097826,342.3582,348.0785,6.093206,0.1391668,1.526692,0.3532681,287.1053,44.73234,340.5764
27.45333,1,Training,1,1,Flat,5,prepare,-0.1025959,1.740777,0.09086178,342.2846,348.6062,5.973559,0.1391668,1.526692,0.3532681,287.1053,44.73234,340.5764
27.46445,1,Training,1,1,Flat,5,prepare,-0.1017782,1.740864,0.09075873,342.2207,349.1248,5.856204,0.1414144,1.525954,0.3533603,287.5706,46.24711,339.3253
27.46445,1,Training,1,1,Flat,5,prepare,-0.101008,1.740923,0.09066647,342.2129,349.6416,5.754336,0.1414144,1.525954,0.3533603,287.5706,46.24711,339.3253
27.47556,1,Training,1,1,Flat,5,prepare,-0.1001083,1.740978,0.09064782,342.1883,350.1591,5.672913,0.142652,1.525826,0.3534139,287.7794,46.77154,339.0627
27.48667,1,Training,1,1,Flat,5,prepare,-0.09925113,1.740998,0.09059367,342.1523,350.709,5.580153,0.1438065,1.525666,0.3534558,287.9707,47.18969,338.9731
27.49778,1,Training,1,1,Flat,5,prepare,-0.0984143,1.7411,0.09054258,342.0625,351.2723,5.505308,0.1449783,1.525341,0.3534255,288.1276,47.56874,338.9034
27.50889,1,Training,1,1,Flat,5,prepare,-0.0976,1.741211,0.09041741,341.9504,351.7999,5.452879,0.145937,1.525182,0.3531699,288.2681,47.95297,338.6903
27.52,1,Training,1,1,Flat,5,prepare,-0.09678221,1.741392,0.09024617,341.7995,352.2903,5.413121,0.1470156,1.525123,0.3528613,288.3979,48.37635,338.3447
