ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
3,3,1,Flat,5,3,0.0145339,1.01112,1.411061,7.575045,10.16259,4.465381,6.408984,7.852842,10.16259,11.26213
3,4,2,Full Circle,5,2,0.8788456,3.854251,5.942573,11.28448,12.57248,2.030766,4.864808,10.54842,12.07267,13.25001
3,5,3,Flat,5,1,0.0136105,1.233424,1.345576,10.74067,11.83969,4.665473,6.209206,10.28497,13.08354,13.66096
3,6,4,Full Circle,5,2,0.6777892,0.7778928,5.787011,6.619768,7.452837,3.931954,5.453093,6.342274,7.230695,7.953008
3,7,5,Flat,5,5,0.6557726,1.089374,9.049749,10.95126,12.49492,4.154263,8.858302,10.42937,12.33952,13.90529
3,8,6,Full Circle,5,5,0.5916205,0.7472125,6.644841,8.97458,12.43076,2.723997,3.634785,8.165983,11.06482,12.81948
3,9,7,Flat,5,5,0.5891786,0.6890233,8.505091,11.4954,11.68408,4.320616,5.953281,9.151855,12.38376,13.42757
3,10,8,Full Circle,5,1,0.0135979,1.366853,3.698717,8.563112,9.173953,3.25444,4.787057,9.040875,10.27349,12.55021
3,11,9,Flat,5,4,0.0143,0.9556879,0.9556879,12.02882,13.15011,4.041699,5.542523,11.6953,12.65054,15.59071
3,12,10,Full Circle,5,1,0.1871635,1.877428,5.897778,7.68641,9.451633,3.732157,5.520384,6.764205,8.396517,13.36137
3,13,11,Flat,5,5,0.0153859,0.7667955,0.8444796,7.073747,8.352352,3.743271,5.275936,6.875332,8.818992,10.08475
3,14,12,Full Circle,5,4,0.5668272,6.675523,8.094701,10.50695,12.051,3.932019,7.286191,10.12922,11.62862,13.97207
3,15,13,Flat,5,5,0.6559754,0.7114086,7.219443,8.563279,9.729401,3.910171,4.976053,8.663537,10.10722,11.88404
3,16,14,Full Circle,5,3,0.0417784,3.698813,5.309307,7.330474,12.82826,1.777527,4.376442,6.864202,7.79705,13.56116
3,17,15,Flat,5,5,0.0137779,0.313774,0.414116,5.8337,7.444036,3.090408,4.765333,6.155635,7.754823,10.24271
3,18,16,Full Circle,5,5,0.0144089,0.710189,8.148221,9.57393,11.6396,2.84353,3.632267,8.794063,10.81772,12.80577
3,19,17,Flat,5,5,0.0136129,0.0136129,6.353474,6.783789,7.685971,3.520996,4.998449,6.975141,8.407977,9.662961
3,20,18,Full Circle,5,0,1.336532,2.080093,5.193258,6.975404,9.488361,6.565118,8.15265,10.24357,13.47563,14.0529
