Timestamp	TrialNo	Position.x	Position.y
401.4756	4.0000	-0.0436	-0.0294
401.4867	4.0000	-0.0470	-0.0329
401.4978	4.0000	-0.0516	-0.0366
401.5089	4.0000	-0.0568	-0.0398
401.5200	4.0000	-0.0623	-0.0423
401.5311	4.0000	-0.0685	-0.0438
401.5422	4.0000	-0.0748	-0.0452
401.5533	4.0000	-0.0818	-0.0458
401.5645	4.0000	-0.0894	-0.0468
401.5756	4.0000	-0.0967	-0.0478
401.5867	4.0000	-0.1045	-0.0487
401.5978	4.0000	-0.1122	-0.0493
401.6089	4.0000	-0.1198	-0.0495
401.6200	4.0000	-0.1278	-0.0491
401.6311	4.0000	-0.1353	-0.0481
401.6422	4.0000	-0.1433	-0.0470
401.6534	4.0000	-0.1507	-0.0456
401.6645	4.0000	-0.1582	-0.0451
401.6756	4.0000	-0.1661	-0.0462
401.6867	4.0000	-0.1734	-0.0492
401.6978	4.0000	-0.1806	-0.0527
401.7089	4.0000	-0.1873	-0.0571
401.7200	4.0000	-0.1936	-0.0612
401.7311	4.0000	-0.1991	-0.0655
401.7422	4.0000	-0.2041	-0.0697
401.7534	4.0000	-0.2083	-0.0745
401.7645	4.0000	-0.2122	-0.0791
401.7756	4.0000	-0.2154	-0.0841
401.7867	4.0000	-0.2188	-0.0885
401.7978	4.0000	-0.2218	-0.0922
401.8089	4.0000	-0.2244	-0.0952
401.8200	4.0000	-0.2265	-0.0975
401.8311	4.0000	-0.2280	-0.0993
401.8422	4.0000	-0.2294	-0.1009
401.8533	4.0000	-0.2305	-0.1016
401.8644	4.0000	-0.2319	-0.1021
401.8756	4.0000	-0.2336	-0.1020
401.8867	4.0000	-0.2353	-0.1018
401.8978	4.0000	-0.2370	-0.1016
401.9089	4.0000	-0.2384	-0.1016
401.9200	4.0000	-0.2398	-0.1022
401.9311	4.0000	-0.2412	-0.1031
401.9422	4.0000	-0.2428	-0.1044
401.9533	4.0000	-0.2445	-0.1057
401.9644	4.0000	-0.2463	-0.1069
401.9756	4.0000	-0.2480	-0.1080
401.9867	4.0000	-0.2497	-0.1092
401.9978	4.0000	-0.2513	-0.1101
402.0089	4.0000	-0.2526	-0.1108
402.0200	4.0000	-0.2540	-0.1116
402.0311	4.0000	-0.2551	-0.1119
402.0422	4.0000	-0.2562	-0.1119
402.0533	4.0000	-0.2569	-0.1117
402.0645	4.0000	-0.2573	-0.1112
402.0756	4.0000	-0.2574	-0.1107
402.0867	4.0000	-0.2569	-0.1097
402.0978	4.0000	-0.2554	-0.1086
402.1089	4.0000	-0.2538	-0.1071
402.1200	4.0000	-0.2517	-0.1051
402.1311	4.0000	-0.2490	-0.1029
402.1422	4.0000	-0.2461	-0.1009
402.1534	4.0000	-0.2425	-0.0989
402.1645	4.0000	-0.2379	-0.0972
402.1756	4.0000	-0.2324	-0.0951
402.1867	4.0000	-0.2261	-0.0917
402.1978	4.0000	-0.2194	-0.0877
402.2089	4.0000	-0.2120	-0.0831
402.2200	4.0000	-0.2043	-0.0784
402.2311	4.0000	-0.1960	-0.0741
402.2422	4.0000	-0.1879	-0.0706
402.2534	4.0000	-0.1795	-0.0677
402.2645	4.0000	-0.1713	-0.0648
402.2756	4.0000	-0.1626	-0.0622
402.2867	4.0000	-0.1539	-0.0597
402.2978	4.0000	-0.1445	-0.0578
402.3089	4.0000	-0.1350	-0.0565
402.3200	4.0000	-0.1252	-0.0555
402.3311	4.0000	-0.1153	-0.0550
402.3422	4.0000	-0.1055	-0.0549
402.3533	4.0000	-0.0952	-0.0546
402.3644	4.0000	-0.0859	-0.0543
402.3756	4.0000	-0.0755	-0.0542
402.3867	4.0000	-0.0658	-0.0543
402.3978	4.0000	-0.0563	-0.0545
402.4089	4.0000	-0.0468	-0.0551
402.4200	4.0000	-0.0378	-0.0553
402.4311	4.0000	-0.0288	-0.0559
402.4422	4.0000	-0.0201	-0.0565
402.4533	4.0000	-0.0116	-0.0572
402.4644	4.0000	-0.0034	-0.0581
402.4756	4.0000	0.0044	-0.0590
402.4867	4.0000	0.0122	-0.0601
402.4978	4.0000	0.0193	-0.0612
402.5089	4.0000	0.0263	-0.0624
402.5200	4.0000	0.0326	-0.0633
402.5311	4.0000	0.0388	-0.0640
402.5422	4.0000	0.0445	-0.0645
402.5533	4.0000	0.0503	-0.0647
402.5645	4.0000	0.0559	-0.0647
402.5756	4.0000	0.0615	-0.0646
402.5867	4.0000	0.0668	-0.0644
402.5978	4.0000	0.0722	-0.0640
402.6089	4.0000	0.0773	-0.0637
402.6200	4.0000	0.0823	-0.0633
402.6311	4.0000	0.0871	-0.0628
402.6422	4.0000	0.0919	-0.0619
402.6534	4.0000	0.0970	-0.0606
402.6645	4.0000	0.1022	-0.0587
402.6756	4.0000	0.1076	-0.0564
402.6867	4.0000	0.1132	-0.0541
402.7978	4.0000	0.2072	-0.0523
402.8089	4.0000	0.2052	-0.0493
402.8200	4.0000	0.2030	-0.0460
402.8311	4.0000	0.2102	-0.0449
402.8422	4.0000	0.2211	-0.0442
402.8533	4.0000	0.2321	-0.0435
402.8644	4.0000	0.2442	-0.0429
402.8756	4.0000	0.2567	-0.0423
402.8867	4.0000	0.2699	-0.0414
402.8978	4.0000	0.2838	-0.0403
402.9089	4.0000	0.2975	-0.0396
402.9200	4.0000	0.3118	-0.0390
402.9311	4.0000	0.3258	-0.0385
402.9422	4.0000	0.3394	-0.0377
402.9533	4.0000	0.3527	-0.0366
402.9644	4.0000	0.3655	-0.0356
402.9756	4.0000	0.3786	-0.0343
402.9867	4.0000	0.3916	-0.0335
402.9978	4.0000	0.4047	-0.0335
403.0089	4.0000	0.4180	-0.0346
403.0200	4.0000	0.4316	-0.0359
403.0311	4.0000	0.4455	-0.0374
403.0422	4.0000	0.4603	-0.0388
403.0533	4.0000	0.4749	-0.0406
403.0645	4.0000	0.4889	-0.0426
403.0756	4.0000	0.5021	-0.0451
403.0867	4.0000	0.5154	-0.0474
403.1089	4.0000	0.6114	-0.0592
403.1200	4.0000	0.6071	-0.0602
403.1311	4.0000	0.6029	-0.0612
403.1422	4.0000	0.5986	-0.0627
403.1534	4.0000	0.5944	-0.0643
403.1645	4.0000	0.6002	-0.0673
403.1756	4.0000	0.6105	-0.0707
403.1867	4.0000	0.6194	-0.0742
403.1978	4.0000	0.6278	-0.0780
403.2089	4.0000	0.6356	-0.0822
403.2200	4.0000	0.6429	-0.0864
403.2311	4.0000	0.6486	-0.0903
403.2422	4.0000	0.6533	-0.0948
403.2534	4.0000	0.6575	-0.0994
403.2645	4.0000	0.6596	-0.1046
403.2756	4.0000	0.6614	-0.1103
403.2867	4.0000	0.6621	-0.1162
403.2978	4.0000	0.6618	-0.1220
403.3089	4.0000	0.6613	-0.1268
403.3200	4.0000	0.6598	-0.1300
403.3311	4.0000	0.6573	-0.1313
403.3422	4.0000	0.6545	-0.1321
403.3533	4.0000	0.6518	-0.1336
403.3644	4.0000	0.6486	-0.1353
403.3756	4.0000	0.6450	-0.1368
403.3867	4.0000	0.6415	-0.1377
403.3978	4.0000	0.6372	-0.1378
403.4089	4.0000	0.6326	-0.1375
403.4200	4.0000	0.6266	-0.1373
403.4311	4.0000	0.6203	-0.1379
403.4422	4.0000	0.6134	-0.1396
403.4533	4.0000	0.6055	-0.1421
403.4644	4.0000	0.5975	-0.1440
403.4756	4.0000	0.5884	-0.1452
403.4867	4.0000	0.5793	-0.1457
403.4978	4.0000	0.5687	-0.1458
403.5089	4.0000	0.5578	-0.1455
403.5200	4.0000	0.5451	-0.1445
403.5311	4.0000	0.5308	-0.1426
403.5422	4.0000	0.5160	-0.1403
403.5533	4.0000	0.4995	-0.1374
403.5645	4.0000	0.4820	-0.1336
403.5756	4.0000	0.4643	-0.1296
403.5867	4.0000	0.4591	-0.1287
403.5978	4.0000	0.4560	-0.1287
403.6089	4.0000	0.4530	-0.1287
403.6534	4.0000	0.3336	-0.0940
403.6645	4.0000	0.3171	-0.0894
403.6756	4.0000	0.3016	-0.0849
403.6867	4.0000	0.2869	-0.0807
403.6978	4.0000	0.2726	-0.0767
403.7089	4.0000	0.2595	-0.0727
403.7200	4.0000	0.2473	-0.0686
403.7311	4.0000	0.2361	-0.0640
403.7422	4.0000	0.2264	-0.0583
403.7534	4.0000	0.2175	-0.0523
403.7645	4.0000	0.2103	-0.0450
