TimeSinceStart,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z
4.908781,1,Training,0,0,Semi-Circle,5,prepare,0.2833715,1.52667,-0.15724,9.260143,77.68269,358.2238,0,0,0,0,0,0
5.019889,1,Training,0,0,Semi-Circle,5,prepare,0.2804978,1.528704,-0.1594685,8.735098,78.79646,358.6666,0.4036824,0.9912075,-0.05918614,3.72394,22.12406,330.672
5.064332,1,Training,0,0,Semi-Circle,5,prepare,0.2761439,1.530264,-0.1632396,7.62276,81.00371,359.6758,0.4036822,0.9912072,-0.05918612,3.72389,22.12406,330.672
5.086554,1,Training,0,0,Semi-Circle,5,prepare,0.2743114,1.530741,-0.1646715,7.229229,81.89624,0.1580285,0.4036824,0.9912072,-0.05918616,3.723894,22.12408,330.672
5.119887,1,Training,0,0,Semi-Circle,5,prepare,0.2733592,1.53132,-0.1652796,6.949018,82.24578,0.4364362,0.4036822,0.9912074,-0.05918614,3.723937,22.12405,330.672
5.142108,1,Training,0,0,Semi-Circle,5,prepare,0.2721198,1.531851,-0.1661173,6.631366,82.8195,0.8751072,0.4036825,0.9912077,-0.05918609,3.723936,22.12404,330.672
5.219884,1,Training,0,0,Semi-Circle,5,prepare,0.2714154,1.532057,-0.1664605,6.439983,83.05138,1.037625,0.4036824,0.9912071,-0.05918626,3.723894,22.12408,330.672
5.264328,1,Training,0,0,Semi-Circle,5,prepare,0.2702053,1.533865,-0.1665082,4.55565,83.43489,1.584032,0.4036824,0.9912075,-0.05918629,3.723894,22.12408,330.672
5.297661,1,Training,0,0,Semi-Circle,5,prepare,0.2710541,1.539408,-0.1639618,359.726,83.42415,1.924993,0.4036822,0.9912072,-0.05918612,3.723894,22.12408,330.672
5.319882,1,Training,0,0,Semi-Circle,5,prepare,0.272017,1.545938,-0.1621305,356.9516,82.84372,3.120478,0.4036823,0.9912073,-0.05918617,3.723938,22.12405,330.672
5.342104,1,Training,0,0,Semi-Circle,5,prepare,0.2717602,1.550561,-0.1610584,355.5886,82.46514,3.919408,0.4036823,0.9912076,-0.0591863,3.723941,22.12407,330.672
5.364326,1,Training,0,0,Semi-Circle,5,prepare,0.2707182,1.554322,-0.1599544,354.873,82.45095,4.285563,0.4036825,0.9912071,-0.05918635,3.723938,22.12405,330.672
5.375437,1,Training,0,0,Semi-Circle,5,prepare,0.2703158,1.555702,-0.1592799,354.3972,82.51855,4.247533,0.4036824,0.9912072,-0.05918618,3.723892,22.12407,330.672
5.386548,1,Training,0,0,Semi-Circle,5,prepare,0.2700168,1.557042,-0.1586489,353.8235,82.47778,4.169404,0.4036824,0.9912078,-0.05918635,3.723941,22.12407,330.672
5.408769,1,Training,0,0,Semi-Circle,5,prepare,0.2700523,1.559921,-0.1573742,352.5358,82.07745,4.155231,0.4036831,0.9912077,-0.05918603,3.723933,22.12404,330.672
