ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
1,3,1,Flat,5,2,0.0150569,0.0150569,0.4070112,5.242563,9.329541,3.976436,6.730804,8.363338,10.56228,14.24967
1,4,2,Semi-Circle,5,2,0.0154302,0.0154302,0.9433429,8.674706,10.61821,3.409858,5.653425,9.86259,10.8401,13.00584
1,5,3,Flat,5,1,0.0139943,0.0139943,8.663918,12.4395,12.76163,5.709079,7.097308,12.02848,14.10521,14.98282
1,6,4,Semi-Circle,5,4,0.0139966,0.4667662,0.6776241,9.673744,9.906938,2.843239,5.786723,8.474087,11.01749,12.13913
1,7,5,Flat,5,3,0.0137482,0.0137482,0.0137482,9.749983,13.11711,4.220883,7.263944,10.41707,11.26213,14.26093
1,8,6,Semi-Circle,5,3,0.0141249,0.2442558,0.6003205,10.0738,10.47372,2.699366,5.553562,8.774337,11.09351,11.71745
1,9,7,Flat,5,3,0.0138226,0.4730696,0.4951355,8.008157,8.329906,4.232176,5.431176,10.73574,12.98384,16.35969
1,10,8,Semi-Circle,5,2,0.0152686,0.2540224,0.611241,4.460639,4.704537,2.943513,6.631012,8.608297,12.65033,14.33861
1,11,9,Flat,5,3,0.0155653,0.0155653,0.5222472,2.232731,2.288221,4.553803,8.851823,9.784922,14.00401,14.66995
1,12,10,Semi-Circle,5,3,0.0140229,0.3220008,6.320002,14.41578,15.28256,2.599355,7.252925,10.24042,15.04937,15.64919
1,13,11,Flat,5,3,0.0138322,0.1221502,0.2998683,5.753501,5.931222,3.732128,6.430888,8.718939,11.83952,13.43887
1,14,12,Semi-Circle,5,5,0.0156569,0.1428757,1.100576,2.044129,2.288388,6.79761,7.397291,10.529,12.39487,14.7495
1,15,13,Flat,5,3,0.0136128,0.0136128,0.3552631,4.42064,4.443218,3.610019,7.419435,9.607159,13.1062,14.23862
1,16,14,Semi-Circle,5,5,0.0156965,0.5668922,1.432968,5.486863,5.631224,4.842779,7.075074,10.34015,13.34855,15.63806
1,17,15,Flat,5,5,0.0152331,0.0152331,0.2100199,6.05362,6.075658,3.487769,5.642746,9.052698,13.36141,14.30291
1,18,16,Semi-Circle,5,3,0.0149825,0.0149825,1.516879,1.739246,2.05523,3.676346,6.041826,10.61773,14.33827,15.2257
1,19,17,Flat,5,5,0.0138318,0.0138318,0.4110423,1.366885,1.444066,4.127276,5.348399,8.874288,13.59423,14.93825
1,20,18,Semi-Circle,5,4,0.0132838,0.0132838,0.8575149,4.134393,4.400672,3.611942,5.488899,7.699098,11.5642,12.66354
