Timestamp	TrialNo	Position.x	Position.y
528.5311	4.0000	-0.5468	0.0389
528.5422	4.0000	-0.5646	0.0205
528.5533	4.0000	-0.5978	0.0006
528.5645	4.0000	-0.6336	-0.0221
528.5756	4.0000	-0.6711	-0.0475
528.5867	4.0000	-0.7093	-0.0735
528.5978	4.0000	-0.7489	-0.1013
528.6089	4.0000	-0.7900	-0.1282
528.6200	4.0000	-0.8310	-0.1526
528.6756	4.0000	-1.0582	-0.2626
528.6867	4.0000	-1.1026	-0.2831
528.6978	4.0000	-1.1533	-0.3030
528.7089	4.0000	-1.2064	-0.3189
528.7200	4.0000	-1.2617	-0.3294
528.7311	4.0000	-1.3175	-0.3389
528.7422	4.0000	-1.3735	-0.3427
528.7645	4.0000	-1.5248	-0.3585
528.7756	4.0000	-1.5329	-0.3493
528.7867	4.0000	-1.5822	-0.3494
528.7978	4.0000	-1.6248	-0.3461
528.8089	4.0000	-1.6657	-0.3428
528.8200	4.0000	-1.7042	-0.3394
528.8311	4.0000	-1.7349	-0.3351
528.8422	4.0000	-1.7624	-0.3315
528.8533	4.0000	-1.7885	-0.3278
528.8644	4.0000	-1.8077	-0.3237
528.8755	4.0000	-1.8217	-0.3185
528.8867	4.0000	-1.8312	-0.3131
528.8978	4.0000	-1.8398	-0.3084
528.9089	4.0000	-1.8465	-0.3042
528.9200	4.0000	-1.8498	-0.2999
528.9312	4.0000	-1.8527	-0.2959
528.9423	4.0000	-1.8551	-0.2925
528.9534	4.0000	-1.8536	-0.2879
528.9645	4.0000	-1.8510	-0.2840
528.9756	4.0000	-1.8461	-0.2796
528.9867	4.0000	-1.8400	-0.2748
528.9978	4.0000	-1.8344	-0.2698
529.0089	4.0000	-1.8270	-0.2650
529.0200	4.0000	-1.8482	-0.2649
529.0311	4.0000	-1.8684	-0.2649
529.0422	4.0000	-1.8844	-0.2650
529.0533	4.0000	-1.8933	-0.2651
529.2534	4.0000	-1.7671	-0.2656
529.2645	4.0000	-1.7427	-0.2658
529.2756	4.0000	-1.7117	-0.2656
529.2867	4.0000	-1.6803	-0.2657
529.2978	4.0000	-1.6492	-0.2657
529.3089	4.0000	-1.6332	-0.2679
529.3200	4.0000	-1.6227	-0.2707
529.3311	4.0000	-1.6134	-0.2724
529.3422	4.0000	-1.6042	-0.2738
529.3533	4.0000	-1.5958	-0.2744
529.3644	4.0000	-1.5868	-0.2748
529.3755	4.0000	-1.5774	-0.2754
529.3867	4.0000	-1.5684	-0.2756
529.3978	4.0000	-1.5585	-0.2757
529.4089	4.0000	-1.5488	-0.2748
529.4200	4.0000	-1.5400	-0.2726
529.4312	4.0000	-1.5383	-0.2716
529.4423	4.0000	-1.5388	-0.2691
529.4534	4.0000	-1.5393	-0.2674
529.4645	4.0000	-1.5473	-0.2668
529.4756	4.0000	-1.5551	-0.2669
529.4867	4.0000	-1.5590	-0.2671
529.4978	4.0000	-1.5617	-0.2671
529.5089	4.0000	-1.5647	-0.2671
529.5200	4.0000	-1.5621	-0.2671
529.5311	4.0000	-1.5581	-0.2669
529.5422	4.0000	-1.5501	-0.2668
529.5533	4.0000	-1.5439	-0.2669
529.5645	4.0000	-1.5443	-0.2686
529.5756	4.0000	-1.5448	-0.2698
529.5867	4.0000	-1.5453	-0.2712
529.5978	4.0000	-1.5458	-0.2721
529.6089	4.0000	-1.5463	-0.2730
529.6200	4.0000	-1.5467	-0.2736
529.6311	4.0000	-1.5471	-0.2744
529.6422	4.0000	-1.5476	-0.2764
529.6533	4.0000	-1.5480	-0.2792
529.6644	4.0000	-1.5485	-0.2822
529.6756	4.0000	-1.5488	-0.2864
529.6867	4.0000	-1.5490	-0.2905
529.6978	4.0000	-1.5492	-0.2950
529.7089	4.0000	-1.5492	-0.3008
529.7200	4.0000	-1.5489	-0.3063
529.7311	4.0000	-1.5488	-0.3118
529.7645	4.0000	-1.4404	-0.3059
529.7756	4.0000	-1.4262	-0.3098
529.7867	4.0000	-1.4112	-0.3128
529.7978	4.0000	-1.3965	-0.3144
529.8089	4.0000	-1.3820	-0.3136
529.8200	4.0000	-1.3679	-0.3117
529.8311	4.0000	-1.3541	-0.3096
529.8422	4.0000	-1.3409	-0.3064
529.8533	4.0000	-1.3285	-0.3042
529.8644	4.0000	-1.3173	-0.3026
