TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered,CardPlayed
206.4089,1,Training,8,Semi-Circle,Prepare,,,
226.7867,1,Training,8,Semi-Circle,ShowPattern,,,
226.8089,1,Training,8,Semi-Circle,Card,6,,,
227.6644,1,Training,8,Semi-Circle,Card,15,,,
228.3756,1,Training,8,Semi-Circle,Card,25,,,
232.8533,1,Training,8,Semi-Circle,Card,10,,,
235.1089,1,Training,8,Semi-Circle,Card,,25,,
237.0756,1,Training,8,Semi-Circle,Card,,15,,
239.7089,1,Training,8,Semi-Circle,Card,,6,,
242.1089,1,Training,8,Semi-Circle,Card,,10,,
242.9311,1,Training,8,Semi-Circle,Card,35,,,
243.4533,1,Training,8,Semi-Circle,Card,,35,,
243.4533,1,Training,8,Semi-Circle,Distractor,,,
246.0311,1,Training,8,Semi-Circle,Task: 6,,,
248.9978,1,Training,8,Semi-Circle,CardGame,,,,6
248.9978,1,Training,8,Semi-Circle,Task: 7,,,
251.4756,1,Training,8,Semi-Circle,CardGame,,,,7
251.4756,1,Training,8,Semi-Circle,Task: 3,,,
253.5978,1,Training,8,Semi-Circle,CardGame,,,,3
253.5978,1,Training,8,Semi-Circle,Task: 3,,,
256.2311,1,Training,8,Semi-Circle,CardGame,,,,3
256.2311,1,Training,8,Semi-Circle,Task: 1,,,
258.3867,1,Training,8,Semi-Circle,CardGame,,,,1
258.3867,1,Training,8,Semi-Circle,Task: 5,,,
260.8867,1,Training,8,Semi-Circle,CardGame,,,,5
260.8867,1,Training,8,Semi-Circle,Task: 4,,,
261.5422,1,Training,8,Semi-Circle,SelectedCards,,,
265.4756,1,Training,8,Semi-Circle,Card,,,25,
272.7089,1,Training,8,Semi-Circle,Card,,,5,
285.9089,1,Training,8,Semi-Circle,Card,,,14,
289.8311,1,Training,8,Semi-Circle,Card,,,35,
295.42,1,Training,8,Semi-Circle,Card,,,10,
301.3978,1,Training,8,Semi-Circle,Result,,,
344.7422,2,Training,8,Flat,Prepare,,,
349.4644,2,Training,8,Flat,ShowPattern,,,
349.4867,2,Training,8,Flat,Card,30,,,
350.2534,2,Training,8,Flat,Card,2,,,
350.4867,2,Training,8,Flat,Card,25,,,
353.8422,2,Training,8,Flat,Card,,25,,
355.8755,2,Training,8,Flat,Card,,2,,
357.9644,2,Training,8,Flat,Card,20,,,
358.5311,2,Training,8,Flat,Card,11,,,
360.1534,2,Training,8,Flat,Card,,30,,
362.2311,2,Training,8,Flat,Card,,20,,
363.8867,2,Training,8,Flat,Card,,11,,
364.4311,2,Training,8,Flat,Distractor,,,
366.9311,2,Training,8,Flat,Task: 3,,,
369.5645,2,Training,8,Flat,CardGame,,,,3
369.5645,2,Training,8,Flat,Task: 4,,,
371.8978,2,Training,8,Flat,CardGame,,,,4
371.8978,2,Training,8,Flat,Task: 6,,,
374.9089,2,Training,8,Flat,CardGame,,,,6
374.9089,2,Training,8,Flat,Task: 3,,,
376.92,2,Training,8,Flat,CardGame,,,,3
376.92,2,Training,8,Flat,Task: 6,,,
379.3533,2,Training,8,Flat,CardGame,,,,6
379.3533,2,Training,8,Flat,Task: 2,,,
381.8756,2,Training,8,Flat,SelectedCards,,,
386.0533,2,Training,8,Flat,Card,,,30,
389.4867,2,Training,8,Flat,Card,,,25,
393.4978,2,Training,8,Flat,Card,,,3,
402.1089,2,Training,8,Flat,Card,,,35,
415.5867,2,Training,8,Flat,Card,,,9,
419.5756,2,Training,8,Flat,Result,,,
457.7534,3,1,8,Semi-Circle,Prepare,,,
461.3533,3,1,8,Semi-Circle,ShowPattern,,,
461.3644,3,1,8,Semi-Circle,Card,6,,,
461.3644,3,1,8,Semi-Circle,Card,16,,,
462.2867,3,1,8,Semi-Circle,Card,0,,,
464.1867,3,1,8,Semi-Circle,Card,,0,,
466.3756,3,1,8,Semi-Circle,Card,,16,,
468.3311,3,1,8,Semi-Circle,Card,,6,,
468.9644,3,1,8,Semi-Circle,Card,20,,,
469.8311,3,1,8,Semi-Circle,Card,,20,,
470.7311,3,1,8,Semi-Circle,Card,34,,,
471.6978,3,1,8,Semi-Circle,Card,,34,,
476.2978,3,1,8,Semi-Circle,Distractor,,,
476.2978,3,1,8,Semi-Circle,Task: 5,,,
478.82,3,1,8,Semi-Circle,CardGame,,,,5
478.82,3,1,8,Semi-Circle,Task: 8,,,
482.8311,3,1,8,Semi-Circle,Task: 6,,,
484.6756,3,1,8,Semi-Circle,CardGame,,,,6
484.6756,3,1,8,Semi-Circle,Task: 5,,,
486.1756,3,1,8,Semi-Circle,CardGame,,,,5
486.1756,3,1,8,Semi-Circle,Task: 8,,,
488.2978,3,1,8,Semi-Circle,CardGame,,,,8
488.2978,3,1,8,Semi-Circle,Task: 1,,,
491.7978,3,1,8,Semi-Circle,CardGame,,,,1
491.7978,3,1,8,Semi-Circle,Task: 2,,,
493.4644,3,1,8,Semi-Circle,CardGame,,,,2
493.4644,3,1,8,Semi-Circle,Task: 1,,,
496.1756,3,1,8,Semi-Circle,SelectedCards,,,
511.12,3,1,8,Semi-Circle,Card,,,5,
512.12,3,1,8,Semi-Circle,Card,,,16,
515.8533,3,1,8,Semi-Circle,Card,,,19,
532.9312,3,1,8,Semi-Circle,Card,,,26,
544.12,3,1,8,Semi-Circle,Card,,,33,
547.3311,3,1,8,Semi-Circle,Result,,,
548.7867,4,2,8,Flat,Prepare,,,
550.8755,4,2,8,Flat,ShowPattern,,,
550.8867,4,2,8,Flat,Card,17,,,
551.3422,4,2,8,Flat,Card,27,,,
551.6311,4,2,8,Flat,Card,25,,,
554.3533,4,2,8,Flat,Card,,25,,
555.8422,4,2,8,Flat,Card,,27,,
557.62,4,2,8,Flat,Card,,17,,
558.8422,4,2,8,Flat,Card,7,,,
559.9423,4,2,8,Flat,Card,,7,,
560.2978,4,2,8,Flat,Card,11,,,
562.2534,4,2,8,Flat,Card,,11,,
565.82,4,2,8,Flat,Distractor,,,
565.82,4,2,8,Flat,Task: 5,,,
